K,Rem,cdrag
0.6,2795.8743214243827,2.1418678794450376
0.6,2795.8743214243827,2.1235127720249274
0.6,2310.7320837013167,2.0979868102172836
0.6,2795.7762435891173,2.1419020068364567
0.6,2795.7762435891173,2.12358222131481
0.6,2310.5920736048997,2.098080309199114
0.6,2795.615759120679,2.1419549711856636
0.6,2795.615759120679,2.123690804485249
0.6,2310.3710202401526,2.0982336200353573
0.6,2795.401792447265,2.142028238809727
0.6,2795.401792447265,2.123847832798869
0.6,2310.054209555748,2.098453100321394
0.6,2795.1165259787604,2.1421241765097503
0.6,2795.1165259787604,2.1240478205400195
0.6,2309.6490423347554,2.098736209255821
0.6,2794.7778053366287,2.142237786325791
0.6,2794.7778053366287,2.124287857682599
0.6,2309.162924247767,2.0990767952158906
0.6,2794.367823434722,2.1423767260693958
0.6,2794.367823434722,2.124579355607583
0.6,2308.5738109443946,2.0994861678667864
0.6,2793.904429385141,2.1425333560496638
0.6,2793.904429385141,2.124910971423473
0.6,2307.9038553694268,2.099953154498436
0.6,2793.369827994003,2.1427153395328182
0.6,2793.369827994003,2.1252903381603647
0.6,2307.1384013481525,2.100485343442044
0.6,2792.7729628405123,2.1429162203880483
0.6,2792.7729628405123,2.1257128519788044
0.6,2306.284889216341,2.101077788285923
0.6,2792.122774835368,2.1431374744318346
0.6,2792.122774835368,2.126180284055035
0.6,2305.343405055334,2.10173694248352
0.6,2791.410392998888,2.143377655480568
0.6,2791.410392998888,2.1266871756540855
0.6,2304.3213949175333,2.102456585572634
0.6,2790.62695767242,2.1436432568098467
0.6,2790.62695767242,2.127245857391954
0.6,2303.1969090656594,2.1032419070225137
0.6,2789.7814207341276,2.143930470206041
0.6,2789.7814207341276,2.1278488011230277
0.6,2301.9847688045893,2.104089292410578
0.6,2788.882728580789,2.144235484623915
0.6,2788.882728580789,2.1284922762273806
0.6,2300.692437065169,2.104998897524966
0.6,2787.9220324838725,2.1445621536693253
0.6,2787.9220324838725,2.129183981362191
0.6,2299.305358686113,2.10597466394554
0.6,2786.8904977911748,2.1449116900123264
0.6,2786.8904977911748,2.129919339769065
0.6,2297.8310176350387,2.107011707162265
0.6,2785.805969823364,2.1452817453229787
0.6,2785.805969823364,2.130700166975649
0.6,2296.2695619090305,2.1081128123541433
0.6,2784.65073344847,2.1456747244633156
0.6,2784.65073344847,2.1315286635238175
0.6,2294.6138241475364,2.10927937432412
0.6,2783.433747554263,2.1460894695138646
0.6,2783.433747554263,2.1324019835190438
0.6,2292.871303225325,2.110512919157384
0.6,2782.155083504822,2.1465260120765524
0.6,2782.155083504822,2.1333240670739544
0.6,2291.0348596170456,2.1118136893715205
0.6,2780.8236903139114,2.14698054144869
0.6,2780.8236903139114,2.134283555023493
0.6,2289.126618078026,2.1131705394032547
0.6,2779.421894398468,2.1474581268801227
0.6,2779.421894398468,2.135291189763085
0.6,2287.1248281009866,2.1145976132404023
0.6,2777.9939583074397,2.148649045909912
0.6,2777.9939583074397,2.136577533168514
0.6,2284.4719172783707,2.1179611684971835
0.6,2776.469343513694,2.149170513288104
0.6,2776.469343513694,2.137676067392726
0.6,2282.2988025278732,2.119518456089868
0.6,2774.8834598216813,2.149713961774816
0.6,2774.8834598216813,2.1388240492852044
0.6,2280.0328156025234,2.1211444038965808
0.6,2773.236399857614,2.1502794330006507
0.6,2773.236399857614,2.1400216424096494
0.6,2277.674200728506,2.1228393355539446
0.6,2771.537107837052,2.1508631121229436
0.6,2771.537107837052,2.14125745260533
0.6,2275.245020504897,2.1245920717831694
0.6,2769.767982242325,2.1514727581032522
0.6,2769.767982242325,2.142550914244272
0.6,2272.70916216947,2.1264259799874092
0.6,2767.9379790246,2.1521019008375983
0.6,2767.9379790246,2.1438820518208
0.6,2270.1032164508147,2.1283170634891646
0.6,2766.056037485808,2.15275204416978
0.6,2766.056037485808,2.1452643524676853
0.6,2267.405653990568,2.1302798343313754
0.6,2764.1045966231777,2.153425644093327
0.6,2764.1045966231777,2.1466924075964178
0.6,2264.624003536597,2.1323082036155414
0.6,2762.0926078897432,2.1541215504307565
0.6,2762.0926078897432,2.1481672728872905
0.6,2261.758539154524,2.134407742081374
0.6,2760.0290040238865,2.154835942521953
0.6,2760.0290040238865,2.149689144850251
0.6,2258.8095427057224,2.1365749919413
0.6,2757.8962674216345,2.155576621573479
0.6,2757.8962674216345,2.1512621185364322
0.6,2255.7700883857947,2.13881036980926
0.6,2755.712147251865,2.156335892935733
0.6,2755.712147251865,2.1528786261910327
0.6,2252.654912881395,2.141114306753657
0.6,2753.4503588191837,2.1571227881655703
0.6,2753.4503588191837,2.1545497083691534
0.6,2249.442701541055,2.1434976587708565
0.6,2751.137444025874,2.1579283931440183
0.6,2751.137444025874,2.1562647646756328
0.6,2246.1553875301865,2.145916331343848
0.6,2748.7647325874,2.158756650964245
0.6,2748.7647325874,2.158031841014008
0.6,2242.7789052374033,2.1481361871382436
0.6,2746.3499169147562,2.159602511277069
0.6,2746.3499169147562,2.1598402974977273
0.6,2239.335120463743,2.150418839636997
0.6,2743.849241430943,2.160477487349751
0.6,2743.849241430943,2.161703443160368
0.6,2235.7956702880483,2.152764213490062
0.6,2741.3067311362865,2.1613701930453675
0.6,2741.3067311362865,2.1636163149784866
0.6,2232.175256322743,2.1551732014661207
0.6,2738.7049767009335,2.1622858129026126
0.6,2738.7049767009335,2.1655743560932352
0.6,2228.4813683355887,2.157644901232129
0.6,2736.0266293994696,2.163229557303896
0.6,2736.0266293994696,2.16758879335602
0.6,2224.692944179558,2.1601819370780255
0.6,2733.2981117764502,2.1641924611889363
0.6,2733.2981117764502,2.1696568617252048
0.6,2220.8175298737965,2.1627966922473263
0.6,2730.519557338176,2.165177269954498
0.6,2730.519557338176,2.171588398008673
0.6,2217.0600390926606,2.165462758329265
0.6,2727.6736501636383,2.1661865286786877
0.6,2727.6736501636383,2.173496233752905
0.6,2213.293746060751,2.168195574269544
0.6,2724.7780120477732,2.167215159325536
0.6,2724.7780120477732,2.175444642108894
0.6,2209.460438779148,2.1709934257415693
0.6,2721.806655350244,2.1682723319173993
0.6,2721.806655350244,2.1774435693976875
0.6,2205.540603230891,2.173859040487977
1.2,2455.7623473939875,1.6446497233861719
1.2,2455.7623473939875,1.6931623656547006
1.2,2348.545341512677,1.6242806974361095
1.2,2455.6605377285537,1.6446847454679632
1.2,2455.6605377285537,1.6932172866601745
1.2,2348.4030403187144,1.624349075498965
1.2,2455.503914731185,1.6447384353523822
1.2,2455.503914731185,1.6933009360723146
1.2,2348.1858583967723,1.6244602325895026
1.2,2455.3003179843377,1.6448084893854498
1.2,2455.3003179843377,1.6934138238401562
1.2,2347.8938140400232,1.6246115279730096
1.2,2455.0184393338745,1.6449054012955548
1.2,2455.0184393338745,1.6935670550610171
1.2,2347.4969845050314,1.6248112041896103
1.2,2454.689616917764,1.6450186905086757
1.2,2454.689616917764,1.6937495570284302
1.2,2347.025358279351,1.625053977305762
1.2,2454.2903846804356,1.6451559195265062
1.2,2454.2903846804356,1.6939663975086932
1.2,2346.4640072353673,1.6253394023341634
1.2,2453.8285990876548,1.6453147921615052
1.2,2453.8285990876548,1.6942181055009364
1.2,2345.812988064662,1.625667767196899
1.2,2453.31211599863,1.6454930121299056
1.2,2453.31211599863,1.6945052147953887
1.2,2345.072366492097,1.6260451783540923
1.2,2452.7331426699784,1.6456922745518086
1.2,2452.7331426699784,1.6948237313820815
1.2,2344.2496949269776,1.6264654059720882
1.2,2452.0917180651963,1.6459132254059456
1.2,2452.0917180651963,1.695174194121329
1.2,2343.3450494313875,1.626925851032695
1.2,2451.387885336424,1.646156512891286
1.2,2451.387885336424,1.6955632082168361
1.2,2342.343568902403,1.627435557385398
1.2,2450.621691817187,1.6464208996181549
1.2,2450.621691817187,1.695983759654042
1.2,2341.2603012320274,1.6279883082040583
1.2,2449.801003927542,1.6467040940617925
1.2,2449.801003927542,1.6964363997346612
1.2,2340.095346408681,1.6285873500511534
1.2,2448.9180574509937,1.6470090619498616
1.2,2448.9180574509937,1.6969211820519194
