   0,1.392646e+01,7.352432e+02,2.130971e+03, 100
   1,7.740719e+00,3.629532e+02,4.443504e+02, 100
   2,6.652870e+00,1.148579e+03,7.975435e+03, 100
   3,6.652870e+00,6.456448e+02,4.116723e+03, 100
   4,6.218907e+00,4.451127e+02,7.982878e+02, 100
   5,6.218907e+00,5.377319e+02,1.563705e+03, 100
   6,5.804232e+00,3.458282e+02,5.529492e+02, 100
   7,5.804232e+00,3.893233e+02,5.623028e+02, 100
   8,5.804232e+00,4.906216e+02,1.314486e+03, 100
   0,1.430874e+01,9.708365e+01,8.044267e+01, 100
   1,2.278322e+00,7.464999e+01,1.654049e+02, 100
   2,2.278322e+00,3.205357e+01,4.271892e+01, 100
   3,2.278322e+00,2.023077e+01,2.345334e+01, 100
   4,2.278322e+00,5.672982e+01,2.633021e+02, 100
   5,2.278322e+00,2.845987e+02,1.296071e+03, 100
   6,2.278322e+00,1.049192e+02,4.518681e+02, 100
   7,2.278322e+00,2.820919e+02,1.317954e+03, 100
   8,2.278322e+00,2.605269e+01,7.465649e+01, 100
   9,2.278322e+00,2.076987e+01,2.655102e+01, 100
  10,2.278322e+00,1.890542e+02,9.089154e+02, 100
