,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
38,"[[0], [0], [1, 1], [2, 0, 2, 2], [2, 0, 2, 2], [1, 1, 0, 0, 1, 1, 1, 1], [0, 0, 0]]",63.1449514685116,6,(Constant*Constant+x[0])*(x[0]*Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 4, 5, 2]",(-0.5962666788660885*0.4500779637934986+x[0])*(x[0]*-1.8334386112749668) * (x[1]**-12.233213010675575) * (x[2]),[ -0.59626668   0.45007796  -1.83343861 -12.23321301],60.3736061498706,"{'fitness 25': 65.53845433058747, 'fitness 53': 62.96497582407102, 'fitness 74': 60.9314242508763, 'fitness 102': 60.3736061498706}",True
39,"[[0], [1], [1, 3], [1, 1, 1, 1], [0, 3, 1, 1], [1, 0, 1, 1, 1, 0, 0], [0, 0]]",63.14495146851169,6,(((Constant+x[0])/(Constant-Constant))-Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 4, 5, 1]",(((-0.26596356933639936+x[0])/(-0.6391309480257987-1.9305679175715222))-0.7516025045087563) * (x[1]**-3.883024355732984) * (x[2]),[-0.26596357 -0.63913095  1.93056792  0.7516025  -3.88302436],60.373606149870795,"{'fitness 25': 65.53845433058751, 'fitness 53': 62.964975824071104, 'fitness 74': 60.931424250876475, 'fitness 102': 60.373606149870795}",True
40,"[[0], [0], [3, 1], [1, 1], [1, 1, 1, 1], [1, 0, 0, 1, 1], [0, 0]]",64.03453440378604,6,Constant-((x[0]-x[0])-(Constant-Constant)) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 4, 5, 2]",0.010126739724197642-((x[0]-x[0])-(0.2540222975899429-0.8760751358571398)) * (x[1]**0.0947971226295411) * (x[2]),[0.01012674 0.2540223  0.87607514 0.09479712],61.25111769796979,"{'fitness 25': 66.43689276703537, 'fitness 53': 63.852505971112784, 'fitness 74': 61.81420447320995, 'fitness 102': 61.25111769796979}",False
41,"[[0], [0], [2, 3], [0], [0, 1], [1, 1, 0], [0]]",70.21454593084711,5,(Constant+Constant**Constant)-x[0] * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 2, 3, 1]",(0.5596315133890374+0.13338670147342013**0.6794472854525313)-x[0] * (x[1]**0.30156154574447935) * (x[2]),[0.55963151 0.1333867  0.67944729 0.30156155],67.27195253419472,"{'fitness 25': 72.6090223158932, 'fitness 53': 69.97844907551557, 'fitness 74': 68.05616640113253, 'fitness 102': 67.27195253419472}",False
42,"[[0], [0], [0, 3], [0, 1], [1, 2, 3, 2], [1, 1, 1, 0, 1], [0, 0, 0, 0]]",71.42716323944796,6,Constant-Constant*(Constant/x[0])*Constant * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 4, 5, 1]",0.9470859310364256-0.3998606642684106*(0.5078884381055458/x[0])*0.7046267364023212 * (x[1]**0.5344612110779405) * (x[2]),[0.94708593 0.39986066 0.50788844 0.70462674 0.53446121],67.99812323170448,"{'fitness 25': 74.52855657653306, 'fitness 53': 71.19535262948762, 'fitness 74': 68.55758051232321, 'fitness 102': 67.99812323170448}",True
43,"[[0], [0], [2, 2], [0, 2], [3, 1], [1, 1, 1], []]",80.61291592243884,5,(Constant/Constant**Constant)-(Constant**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 2, 3, 0]",(0.8728081029443369/0.14703054570868745**0.1760871100995477)-(0.7408061177243578**0.026284208928612385) * (x[1]**0.4049080783861152) * (x[2]),[0.8728081  0.14703055 0.17608711 0.74080612 0.02628421 0.40490808],77.0863873176711,"{'fitness 25': 83.53650551807573, 'fitness 53': 80.32189844743583, 'fitness 74': 77.98034380180498, 'fitness 102': 77.0863873176711}",True
44,"[[0], [0], [0, 0], [2, 1, 1, 0], [2, 1, 0, 2, 3, 1], [0, 1, 0, 1, 0, 1, 1], [0, 0, 0]]",87.56193263372408,6,x[0]*(Constant-x[0])+(Constant*x[0])/Constant-Constant * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 6, 7, 3]",x[0]*(0.5596315133890374-x[0])+(0.13338670147342013*x[0])/0.6794472854525313-0.30156154574447935 * (x[1]**0.5788589718721219) * (x[2]),[0.55963151 0.1333867  0.67944729 0.30156155 0.57885897],83.46744933839798,"{'fitness 25': 90.86365233289266, 'fitness 53': 87.18519913089057, 'fitness 74': 84.63694643738903, 'fitness 102': 83.46744933839798}",False
45,"[[0], [0], [3, 0], [0, 0], [3, 1, 1, 2], [0, 0, 1, 1, 0], [0, 0, 0]]",144.21420916053316,6,x[0]/x[0]-Constant-Constant*x[0] * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 4, 5, 3]",x[0]/x[0]-0.20473751506368854-0.6883295602812045*x[0] * (x[1]**0.6234354815138423) * (x[2]),[0.20473752 0.68832956 0.62343548],137.94256065299803,"{'fitness 25': 147.75754696303412, 'fitness 53': 143.3273927822694, 'fitness 74': 141.5576877362959, 'fitness 102': 137.94256065299803}",True
46,"[[0], [1], [2, 0], [1, 2, 1, 1], [2, 0, 2, 2, 1, 2], [1, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0]]",275.7612100570072,6,(((Constant*x[0])**Constant)+x[0]*(x[0]*Constant)) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 3, 4, 5, 3]",(((0.9767299114106293*x[0])**0.46092185661829543)+x[0]*(x[0]*0.9291576962563897)) * (x[1]**0.6605679475470527) * (x[2]),[0.97672991 0.46092186 0.9291577  0.66056795],263.72092457807855,"{'fitness 25': 279.5932217884694, 'fitness 53': 273.4301187013125, 'fitness 74': 274.2602896812395, 'fitness 102': 263.72092457807855}",True
47,"[[0], [0], [0, 2], [0, 1, 1], [2, 1, 0, 3, 3], [1, 1, 1, 0, 1, 0], [0, 0]]",428.6529379650627,6,Constant*Constant-(Constant+x[0])/((Constant/x[0])**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 3, 5, 6, 2]",0.26443213498172324*0.301536862893397-(0.8778851743041692+x[0])/((0.2478344610865063/x[0])**0.3625534338232963) * (x[1]**0.6201567133208721) * (x[2]),[0.26443213 0.30153686 0.87788517 0.24783446 0.36255343 0.62015671],409.6382406448665,"{'fitness 25': 437.76000409604046, 'fitness 53': 425.5240499722786, 'fitness 74': 422.6747598268691, 'fitness 102': 409.6382406448665}",True
48,"[[0], [0], [1, 1], [2, 1, 2, 1], [1, 3, 2, 1, 2], [1, 0, 1, 0, 1, 1], [0, 0]]",617.5786905153013,6,(Constant-(x[0]/Constant))*(x[0]-(Constant*Constant)) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 5, 6, 2]",(0.5596315133890374-(x[0]/0.13338670147342013))*(x[0]-(0.6794472854525313*0.30156154574447935)) * (x[1]**0.5788589718721219) * (x[2]),[0.55963151 0.1333867  0.67944729 0.30156155 0.57885897],597.0307501105942,"{'fitness 25': 623.0625865754811, 'fitness 53': 613.2269656601743, 'fitness 74': 616.4465193102487, 'fitness 102': 597.0307501105942}",False
49,"[[0], [3], [], [], [], [0], [0]]",957.0214113774168,4,x[0] * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 1]",x[0] * (x[1]**0.8728081029443369) * (x[2]),[0.8728081],902.840588305919,"{'fitness 25': 978.3302861018306, 'fitness 53': 948.089453853852, 'fitness 74': 944.6444941765678, 'fitness 102': 902.840588305919}",False
