,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
24,"[[0], [0], [3, 2], [0, 2, 1], [0, 2, 3, 2], [0, 1, 0, 0], [0, 0]]",2.333047506281569,"[1, 1, 2, 1, 2, 3, 2]",6,x[0]+(Constant*x[0]**Constant) * (x[1]**Constant) * (x[2]),x[0]+(0.4389326416754503*x[0]**-0.2089222958922743) * (x[1]**0.645065315010108) * (x[2]),[ 0.43893264 -0.2089223   0.64506532],2.5989550323259003,"{'fitness 25': 2.6330922679257265, 'fitness 53': 2.240703607791659, 'fitness 74': 2.125346643127322, 'fitness 102': 2.5989550323259003}",True
25,"[[0], [0], [3, 2], [1, 1], [0, 2, 3, 2], [1, 0, 0, 0], [0, 0, 0, 0]]",2.351950415544453,"[1, 1, 2, 1, 2, 3, 2]",6,Constant+((x[0]*x[0])**Constant) * (x[1]**Constant) * (x[2]),-8.349562404619157+((x[0]*x[0])**-0.08687544696539518) * (x[1]**0.5628289878429152) * (x[2]),[-8.3495624  -0.08687545  0.56282899],2.660510968912767,"{'fitness 25': 2.66008941803375, 'fitness 53': 2.244022243313558, 'fitness 74': 2.1517395852860517, 'fitness 102': 2.660510968912767}",True
26,"[[0], [0], [2, 2], [0, 0], [3, 3, 0], [1, 1, 0, 1], [0]]",2.4647361032447033,"[1, 1, 2, 2, 3, 4, 1]",6,(Constant/Constant**Constant)/(x[0]+Constant**Constant) * (x[1]**Constant) * (x[2]),(1.0598248138666517/0.4013112729260489**0.7788895982520996)/(x[0]+1.9198284848870015**1.8966775948090835) * (x[1]**0.6359286921465717) * (x[2]),[1.05982481 0.40131127 0.7788896  1.91982848 1.89667759 0.63592869],2.7192075078239877,"{'fitness 25': 2.795326002649806, 'fitness 53': 2.389116501211185, 'fitness 74': 2.2097658058731198, 'fitness 102': 2.7192075078239877}",True
27,"[[0], [0], [3, 1], [1, 0], [2, 2, 3, 2], [1, 1, 0, 0, 0], [0, 0, 0, 0]]",21.369090092609913,"[1, 1, 2, 2, 4, 5, 3]",6,Constant*((Constant*x[0])/x[0]*x[0]) * (x[1]**Constant) * (x[2]),0.9053093650615999*((0.8309463393757237*x[0])/x[0]*x[0]) * (x[1]**0.5716634422848546) * (x[2]),[0.90530937 0.83094634 0.57166344],20.163285159876928,"{'fitness 25': 23.271551970539406, 'fitness 53': 21.628862421430178, 'fitness 74': 19.20685588586016, 'fitness 102': 20.163285159876928}",True
28,"[[0], [0], [3, 2], [0, 1], [0, 1, 3, 2], [1, 1, 0], [0, 0, 0, 0]]",22.004519879216588,"[1, 1, 2, 1, 2, 3, 1]",6,Constant+(Constant-x[0]**Constant) * (x[1]**Constant) * (x[2]),59.18876323243873+(0.658227531624926-x[0]**0.27579754781995075) * (x[1]**-0.9262958504140073) * (x[2]),[59.18876323  0.65822753  0.27579755 -0.92629585],21.71504195862335,"{'fitness 25': 22.365625661388183, 'fitness 53': 22.037024081508196, 'fitness 74': 21.61090989475338, 'fitness 102': 21.71504195862335}",True
29,"[[0], [0], [3, 2], [0, 1], [0, 3, 3, 2], [1, 1, 0, 0], [0, 0, 0, 0]]",22.004582596362695,"[1, 1, 2, 1, 2, 3, 1]",6,Constant+(Constant/x[0]**Constant) * (x[1]**Constant) * (x[2]),59.18955719256421+(0.12518643144002076/x[0]**0.22979737954312635) * (x[1]**-2.9929268828900404) * (x[2]),[59.18955719  0.12518643  0.22979738 -2.99292688],21.715231934356293,"{'fitness 25': 22.365578928818397, 'fitness 53': 22.037095085985822, 'fitness 74': 21.61107377428387, 'fitness 102': 21.715231934356293}",True
30,"[[0], [0], [3, 2], [2], [0, 2, 3, 2], [1, 1, 0], [0]]",22.004582601475033,"[1, 1, 2, 1, 1, 2, 0]",5,Constant+(Constant**Constant) * (x[1]**Constant) * (x[2]),59.18954776548822+(0.5922621135629613**0.3938543958798921) * (x[1]**-2.404403325652804) * (x[2]),[59.18954777  0.59226211  0.3938544  -2.40440333],21.71523073313809,"{'fitness 25': 22.36557996963563, 'fitness 53': 22.037095002140056, 'fitness 74': 21.61107283264941, 'fitness 102': 21.71523073313809}",True
31,"[[0], [0], [3, 2], [0], [1, 1], [1, 1, 0, 0], [0]]",22.004709897950118,"[1, 1, 2, 1, 2, 3, 1]",6,Constant-(Constant-x[0]**Constant) * (x[1]**Constant) * (x[2]),59.189248721571424-(0.5643551071772633-x[0]**0.18122250711993362) * (x[1]**-0.8619899479147248) * (x[2]),[59.18924872  0.56435511  0.18122251 -0.86198995],21.7153790449468,"{'fitness 25': 22.365688884638097, 'fitness 53': 22.037221784371205, 'fitness 74': 21.61121902484106, 'fitness 102': 21.7153790449468}",True
32,"[[0], [0], [1, 3], [0, 1], [2, 0, 0, 3], [1, 0, 0, 1, 0], [0, 0, 0]]",45.81412768951973,"[1, 1, 2, 2, 4, 5, 3]",6,(Constant*x[0]+(x[0]+Constant))/x[0] * (x[1]**Constant) * (x[2]),(0.8352626953910192*x[0]+(x[0]+0.7350611351168952))/x[0] * (x[1]**0.27737353418647237) * (x[2]),[0.8352627  0.73506114 0.27737353],43.65604950289474,"{'fitness 25': 47.64394947947199, 'fitness 53': 45.692290209443215, 'fitness 74': 44.106143379644, 'fitness 102': 43.65604950289474}",False
33,"[[0], [0], [2, 3], [0], [3, 3], [1, 0, 0], [0, 0]]",55.633387642368,"[1, 1, 2, 1, 2, 3, 2]",6,(Constant/x[0]**Constant)/x[0] * (x[1]**Constant) * (x[2]),(0.8352626953910192/x[0]**0.7350611351168952)/x[0] * (x[1]**0.27737353418647237) * (x[2]),[0.8352627  0.73506114 0.27737353],53.28866338697396,"{'fitness 25': 57.40190302150334, 'fitness 53': 55.43759405053676, 'fitness 74': 54.0606658550639, 'fitness 102': 53.28866338697396}",False
