,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [0], [2, 2], [2, 1], [0, 2], [1, 1, 0], [0]]",14.308744380378647,6,(Constant**Constant)+((Constant*x[0])**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 2, 3, 1]",(0.5596315133890374**0.13338670147342013)+((0.6794472854525313*x[0])**0.30156154574447935) * (x[1]**0.5788589718721219) * (x[2]),[0.55963151 0.1333867  0.67944729 0.30156155 0.57885897],13.527239417958828,"{'fitness 25': 14.706952488371629, 'fitness 53': 14.304905686266789, 'fitness 74': 13.914374966497522, 'fitness 102': 13.527239417958828}",False
1,"[[0], [1], [1, 1], [1, 2, 1, 1], [2, 2, 0, 0, 3, 0], [1, 0, 1, 1, 1, 0, 0], [0, 0, 0]]",18.040612893701766,6,(((Constant*x[0])*Constant)+((Constant+Constant)/(x[0]+x[0]))) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 6, 7, 3]",(((0.5596315133890374*x[0])*0.13338670147342013)+((0.6794472854525313+0.30156154574447935)/(x[0]+x[0]))) * (x[1]**0.5788589718721219) * (x[2]),[0.55963151 0.1333867  0.67944729 0.30156155 0.57885897],17.566478270616088,"{'fitness 25': 18.521569487374624, 'fitness 53': 17.952420980103586, 'fitness 74': 17.6478482136271, 'fitness 102': 17.566478270616088}",False
2,"[[0], [3], [], [], [], [0], [0]]",24.496219920864643,4,x[0] * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 1]",x[0] * (x[1]**0.5596315133890374) * (x[2]),[0.55963151],23.220754094011852,"{'fitness 25': 25.81126858954766, 'fitness 53': 24.575300239900326, 'fitness 74': 23.10209093314594, 'fitness 102': 23.220754094011852}",False
3,"[[0], [2], [2], [0], [3], [1, 1], []]",39.11372603167922,5,((Constant/Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 1, 1, 2, 0]",((0.5596315133890374/0.13338670147342013**0.6794472854525313)**0.30156154574447935) * (x[1]**0.5788589718721219) * (x[2]),[0.55963151 0.1333867  0.67944729 0.30156155 0.57885897],36.39137278053224,"{'fitness 25': 40.62800694037472, 'fitness 53': 38.5640792673023, 'fitness 74': 38.14909188736065, 'fitness 102': 36.39137278053224}",False
4,"[[0], [0], [0, 0], [2, 0, 2, 2], [2, 0, 2, 2], [1, 0, 0, 0, 1], [0, 0, 0]]",39.11986020333068,6,Constant*x[0]+x[0]*x[0]*Constant * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 4, 5, 3]",0.5596315133890374*x[0]+x[0]*x[0]*0.13338670147342013 * (x[1]**0.6794472854525313) * (x[2]),[0.55963151 0.1333867  0.67944729],37.09016288324566,"{'fitness 25': 41.83274875124369, 'fitness 53': 39.25017165140639, 'fitness 74': 36.27666020734197, 'fitness 102': 37.09016288324566}",False
5,"[[0], [0], [3, 0], [2, 0], [1, 1, 0], [1, 1, 1, 1], []]",39.31798087067981,5,Constant-Constant-Constant+Constant * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 3, 4, 0]",0.5596315133890374-0.13338670147342013-0.6794472854525313+0.30156154574447935 * (x[1]**0.5788589718721219) * (x[2]),[0.55963151 0.1333867  0.67944729 0.30156155 0.57885897],37.87728520554697,"{'fitness 25': 40.79322864236196, 'fitness 53': 39.338240161985006, 'fitness 74': 37.822473807692475, 'fitness 102': 37.87728520554697}",False
6,"[[0], [1], [1, 1], [0, 2, 0, 0], [2, 2, 0, 0, 0, 2], [0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0]]",42.0643153893503,6,((x[0]*x[0]*x[0])+(x[0]+Constant+Constant*Constant)) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 4, 6, 7, 4]",((x[0]*x[0]*x[0])+(x[0]+0.5596315133890374+0.13338670147342013*0.6794472854525313)) * (x[1]**0.30156154574447935) * (x[2]),[0.55963151 0.1333867  0.67944729 0.30156155],39.66740787578175,"{'fitness 25': 44.625845623245695, 'fitness 53': 42.08524888252088, 'fitness 74': 39.48185166228432, 'fitness 102': 39.66740787578175}",False
7,"[[0], [0], [3, 2], [2], [2], [1, 0], [0]]",42.10174418416889,6,Constant*(x[0]**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 1, 2, 1]",0.5596315133890374*(x[0]**0.13338670147342013) * (x[1]**0.6794472854525313) * (x[2]),[0.55963151 0.1333867  0.67944729],38.821296187759344,"{'fitness 25': 43.67441864256794, 'fitness 53': 41.495011448393804, 'fitness 74': 41.135802461544934, 'fitness 102': 38.821296187759344}",False
8,"[[0], [0], [3, 2], [1], [3, 1], [0, 1, 1], [0]]",49.57379154796096,5,x[0]/((Constant-Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 2, 3, 1]",x[0]/((0.5596315133890374-0.13338670147342013)**0.6794472854525313) * (x[1]**0.30156154574447935) * (x[2]),[0.55963151 0.1333867  0.67944729 0.30156155],47.089602876439656,"{'fitness 25': 51.9968775680829, 'fitness 53': 49.50380488006211, 'fitness 74': 47.22069219573786, 'fitness 102': 47.089602876439656}",False
9,"[[0], [2], [2], [1], [0], [1, 0], [0]]",54.923200336057015,6,(((Constant+x[0])**Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 1, 1, 2, 1]",(((0.5596315133890374+x[0])**0.13338670147342013)**0.6794472854525313) * (x[1]**0.30156154574447935) * (x[2]),[0.55963151 0.1333867  0.67944729 0.30156155],52.411230612170556,"{'fitness 25': 57.142604846067435, 'fitness 53': 54.78511819849909, 'fitness 74': 52.84187796360451, 'fitness 102': 52.411230612170556}",False
