,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [0], [3, 2], [1], [2, 1], [1, 0, 1], [0]]",2.2783223412392224,6,Constant*((x[0]-Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 2, 3, 1]",0.4683428834212554*((x[0]-0.19845968192487887)**-0.14002468248353805) * (x[1]**0.6351987527984237) * (x[2]),[ 0.46834288  0.19845968 -0.14002468  0.63519875],2.5393872144256675,"{'fitness 25': 2.56582526368585, 'fitness 53': 2.197944411648253, 'fitness 74': 2.071197348383563, 'fitness 102': 2.5393872144256675}",True
1,"[[0], [0], [3, 2], [2], [2, 1], [1, 0], [0]]",2.319970153808366,6,Constant*(x[0]**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 1, 2, 1]",0.48161049910027615*(x[0]**-0.19421180513345118) * (x[1]**0.6358985278956634) * (x[2]),[ 0.4816105  -0.19421181  0.63589853],2.583065926953458,"{'fitness 25': 2.633987325124469, 'fitness 53': 2.22614476553606, 'fitness 74': 2.0997783707645694, 'fitness 102': 2.583065926953458}",True
2,"[[0], [1], [2, 3], [0], [3, 3], [1, 0, 1], [0]]",2.319970154701128,6,((Constant/x[0]**Constant)/Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 2, 3, 1]",((0.5147214836511103/x[0]**0.1942137264489047)/1.0687386571036979) * (x[1]**0.6358972302133046) * (x[2]),[0.51472148 0.19421373 1.06873866 0.63589723],2.583046403911503,"{'fitness 25': 2.634004761491887, 'fitness 53': 2.2261344018696922, 'fitness 74': 2.099771300741804, 'fitness 102': 2.583046403911503}",True
3,"[[0], [1], [2, 3], [0], [3, 3], [1, 0, 1], [0]]",2.3199701836052746,6,((Constant/x[0]**Constant)/Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 2, 3, 1]",((1.0063412655036026/x[0]**0.19420019673780933)/2.089628868816628) * (x[1]**0.6359042866956683) * (x[2]),[1.00634127 0.1942002  2.08962887 0.63590429],2.583071604615893,"{'fitness 25': 2.633955422276655, 'fitness 53': 2.226170555855056, 'fitness 74': 2.099784572684113, 'fitness 102': 2.583071604615893}",True
4,"[[0], [2], [2, 3], [0], [3, 3], [1, 0], [0]]",2.3199702806724076,6,((Constant/x[0]**Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 1, 1, 2, 1]",((0.04667779729533489/x[0]**0.8144810943774634)**0.23841648173287414) * (x[1]**0.6359001251803132) * (x[2]),[0.0466778  0.81448109 0.23841648 0.63590013],2.5830036932536355,"{'fitness 25': 2.6339620690306065, 'fitness 53': 2.226188286114009, 'fitness 74': 2.0997604868726074, 'fitness 102': 2.5830036932536355}",True
5,"[[0], [0], [3, 2], [2], [2], [1, 0], [0]]",2.319970314376266,6,Constant*(x[0]**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 1, 2, 1]",0.48169829275119413*(x[0]**-0.19420797637474063) * (x[1]**0.6358771938696666) * (x[2]),[ 0.48169829 -0.19420798  0.63587719],2.583009436506212,"{'fitness 25': 2.6340092361050296, 'fitness 53': 2.226156770139811, 'fitness 74': 2.0997449368839574, 'fitness 102': 2.583009436506212}",True
6,"[[0], [0], [3, 2], [1, 2], [0, 2], [1, 1, 0], [0, 0]]",2.352328038321224,6,Constant+((Constant*x[0])**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 2, 3, 1]",-8.398234558557075+((0.9796753887943028*x[0])**-0.17363216748217883) * (x[1]**0.5624807365484212) * (x[2]),[-8.39823456  0.97967539 -0.17363217  0.56248074],2.661254891737624,"{'fitness 25': 2.660283371774242, 'fitness 53': 2.244331123768833, 'fitness 74': 2.152369619420598, 'fitness 102': 2.661254891737624}",True
7,"[[0], [2], [2], [1], [0], [1, 0], [0]]",2.4475858416772613,6,(((Constant+x[0])**Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 1, 1, 2, 1]",(((1.9752614839916405+x[0])**-3.126904682821106)**0.2107733857605195) * (x[1]**0.6353159863346406) * (x[2]),[ 1.97526148 -3.12690468  0.21077339  0.63531599],2.703537134653306,"{'fitness 25': 2.7772383163191665, 'fitness 53': 2.369817873854386, 'fitness 74': 2.195701334858232, 'fitness 102': 2.703537134653306}",True
8,"[[0], [1], [1, 3], [1, 2], [0, 2, 1], [0, 0, 1, 1], [0, 0]]",2.5288286578839183,6,(((x[0]+x[0])*Constant)-Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 3, 4, 2]",(((x[0]+x[0])*-0.05688208350503912)--0.6034703439635171) * (x[1]**0.6354227786805909) * (x[2]),[-0.05688208 -0.60347034  0.63542278],2.791023125418077,"{'fitness 25': 2.8449853019958242, 'fitness 53': 2.476230004243329, 'fitness 74': 2.2652706674126013, 'fitness 102': 2.791023125418077}",True
9,"[[0], [0], [1, 3], [1, 2], [0, 2, 1], [0, 0, 1, 1], [0, 0]]",2.8201119026184713,6,((x[0]+x[0])*Constant)-Constant * (x[1]**Constant) * (x[2]),"[1, 1, 2, 2, 3, 4, 2]",((x[0]+x[0])*-6.664569608522546)--1.4331703906366902 * (x[1]**0.5284104660082509) * (x[2]),[-6.66456961 -1.43317039  0.52841047],3.0322733016678582,"{'fitness 25': 3.243215873450204, 'fitness 53': 2.777669365723927, 'fitness 74': 2.4394504686812835, 'fitness 102': 3.0322733016678582}",True
