,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
58,"[[0], [2], [1], [1, 2], [1, 1, 2], [2, 0, 0, 0], [1, 0, 1, 1, 1], [0, 0, 0]]",0.915186128121971,7,((((Constant*x[0])+(Constant+Constant))+(Constant**Constant))**Constant),"[1, 1, 1, 2, 3, 4, 5, 1]",((((0.4927749392869639*x[0])+(0.05874594936824684+0.9322610422793729))+(0.1576841747424489**0.8554984724979569))**0.04686451672818437),[0.49277494 0.05874595 0.93226104 0.15768417 0.85549847 0.04686452],0.9499120732184733,"{'fitness 25': 0.8500944575206728, 'fitness 53': 0.9426265037608483, 'fitness 74': 0.9528374230843918, 'fitness 102': 0.9499120732184733}",False
59,"[[0], [2], [2, 1], [1, 3, 0], [1, 1, 2, 2, 1], [0, 0, 0, 3, 3], [1, 1, 1, 1, 0, 1, 0], [1, 0, 0]]",0.9178617278438784,6,((((Constant+Constant)+(Constant+Constant))**Constant)**Constant),"[1, 1, 1, 1, 2, 3, 4, 0]",((((0.4927749392869639+0.05874594936824684)+(0.9322610422793729+0.1576841747424489))**0.8554984724979569)**0.04686451672818437),[0.49277494 0.05874595 0.93226104 0.15768417 0.85549847 0.04686452],0.9524651314045596,"{'fitness 25': 0.852863316322277, 'fitness 53': 0.945112517710614, 'fitness 74': 0.9556093494987443, 'fitness 102': 0.9524651314045596}",False
60,"[[0], [2], [1, 3], [3, 1], [2, 1], [3, 0, 1, 3, 2, 3], [0, 0, 1, 0, 1, 0], [1, 1, 0]]",0.9368547826957115,7,((x[1]/(x[1]+(Constant-x[0])))**Constant),"[1, 1, 1, 2, 2, 3, 4, 3]",((x[1]/(x[1]+(0.4927749392869639-x[0])))**0.05874594936824684),[0.49277494 0.05874595],0.9714375389904375,"{'fitness 25': 0.8720298268702884, 'fitness 53': 0.9639574437040028, 'fitness 74': 0.9745770775128431, 'fitness 102': 0.9714375389904375}",False
61,"[[0], [2], [2, 0], [2, 0, 1], [1, 0, 0, 1, 0, 2], [3, 1, 2, 3, 1, 3, 2, 2, 3, 3], [0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0], [1, 1, 0, 1, 1, 0, 1, 0]]",0.9368631111367792,7,((((x[1]/x[1])**Constant)**Constant)**Constant),"[1, 1, 1, 1, 1, 1, 2, 2]",((((x[1]/x[1])**0.4927749392869639)**0.05874594936824684)**0.9322610422793729),[0.49277494 0.05874595 0.93226104],0.9714463579713897,"{'fitness 25': 0.872037792155282, 'fitness 53': 0.9639654998198517, 'fitness 74': 0.9745860414352039, 'fitness 102': 0.9714463579713897}",False
62,"[[0], [2], [1, 2], [3, 1], [1, 2, 0, 0, 2, 0], [3, 0, 2], [0, 0, 1, 0], [1, 0, 1]]",0.952867173966952,7,((x[1]/((x[0]+Constant)*x[1]))**Constant),"[1, 1, 1, 2, 2, 3, 4, 3]",((x[1]/((x[0]+0.4927749392869639)*x[1]))**0.05874594936824684),[0.49277494 0.05874595],0.9870488465922153,"{'fitness 25': 0.8883931002761308, 'fitness 53': 0.9793396412797449, 'fitness 74': 0.9908687803449804, 'fitness 102': 0.9870488465922153}",False
63,"[[0], [2], [2], [2], [0], [3], [0, 1], [0]]",0.9585172484465551,7,(((x[0]/Constant**Constant)**Constant)**Constant),"[1, 1, 1, 1, 1, 1, 2, 1]",(((x[0]/0.4927749392869639**0.05874594936824684)**0.9322610422793729)**0.1576841747424489),[0.49277494 0.05874595 0.93226104 0.15768417],0.9946322015731769,"{'fitness 25': 0.8931550778904994, 'fitness 53': 0.9875521995533915, 'fitness 74': 0.9948444678957744, 'fitness 102': 0.9946322015731769}",False
64,"[[0], [2], [1], [0, 2, 1], [0, 1, 2, 0, 2], [1, 2, 2, 2, 2, 0, 1], [0, 1, 0, 1, 0, 1, 0, 0], [0, 0, 0, 1, 0]]",0.9696658938740089,7,((x[0]-Constant*(x[0]*Constant)*(x[0]**Constant))**Constant),"[1, 1, 1, 2, 3, 4, 5, 3]",((x[0]-0.4927749392869639*(x[0]*0.05874594936824684)*(x[0]**0.9322610422793729))**0.1576841747424489),[0.49277494 0.05874595 0.93226104 0.15768417],1.0058306680900666,"{'fitness 25': 0.9043809539829266, 'fitness 53': 0.9986840205818274, 'fitness 74': 1.0059327070572728, 'fitness 102': 1.0058306680900666}",False
65,"[[0], [2], [2], [1], [1, 2, 2], [1, 0], [1, 0, 0, 1, 1], [0, 0, 0]]",0.9729762193806417,7,((((Constant-x[0])+x[0])**Constant)**Constant),"[1, 1, 1, 1, 2, 2, 3, 2]",((((0.4927749392869639-x[0])+x[0])**0.05874594936824684)**0.9322610422793729),[0.49277494 0.05874595 0.93226104],1.0075197326852878,"{'fitness 25': 0.9084675969457532, 'fitness 53': 0.9998101263266891, 'fitness 74': 1.0106509348694828, 'fitness 102': 1.0075197326852878}",False
66,"[[0], [2], [1], [1, 2], [1, 1, 2], [2, 0, 1, 2], [1, 1, 1, 1, 1], [0, 0, 0]]",0.9744930182505459,6,((((Constant*Constant)+(Constant-Constant))*(Constant**Constant))**Constant),"[1, 1, 1, 2, 3, 4, 5, 0]",((((0.4927749392869639*0.05874594936824684)+(0.9322610422793729-0.1576841747424489))*(0.8554984724979569**0.04686451672818437))**0.17878489558131672),"[0.49277494 0.05874595 0.93226104 0.15768417 0.85549847 0.04686452
 0.1787849 ]",1.0090348310349515,"{'fitness 25': 0.909997353783411, 'fitness 53': 1.0013160196741204, 'fitness 74': 1.0121656812941064, 'fitness 102': 1.0090348310349515}",False
67,"[[0], [2], [1], [2, 1, 2], [0, 0, 2, 1], [3, 2, 2, 0, 2], [1, 0, 1, 1, 1, 1, 1], [1, 0]]",0.9875775821680898,7,(((Constant/x[1]**Constant)*(Constant*Constant+Constant))**Constant),"[1, 1, 1, 2, 3, 4, 5, 1]",(((0.4927749392869639/x[1]**0.05874594936824684)*(0.9322610422793729*0.1576841747424489+0.8554984724979569))**0.04686451672818437),[0.49277494 0.05874595 0.93226104 0.15768417 0.85549847 0.04686452],1.0217674169478828,"{'fitness 25': 0.9234774704874997, 'fitness 53': 1.014251911862728, 'fitness 74': 1.0250033641540417, 'fitness 102': 1.0217674169478828}",False
