,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [1], [1, 2], [3, 3, 0], [2, 1], [0, 3, 1, 3, 3], [1, 1, 1, 1, 1, 1], [1]]",0.13871852700040807,"[1, 1, 2, 3, 2, 4, 5, 0]",6,((Constant+Constant)/(Constant-(Constant/Constant)**Constant)) + Constant*x[0]**Constant + Constant*x[1]**Constant,((-8.77615203022584+28.92615143298314)/(-33.49936412874643-(20.379087933415942/17.19250772399094)**21.671886230827408)) + 2.0683396690895877*x[0]**-0.3433255698956924 + -27.53217808406248*x[1]**-15.002657166380246,"[ -8.77615203  28.92615143 -33.49936413  20.37908793  17.19250772
  21.67188623   2.06833967  -0.34332557 -27.53217808 -15.00265717]",0.14443855664695424,"{'fitness 25': 0.12929321293320367, 'fitness 53': 0.14395758999742442, 'fitness 74': 0.14443855664695424, 'fitness 102': 0.1429047780705961}",True
1,"[[0], [1], [1, 1], [1, 3, 0, 3], [0, 1, 0, 2], [0, 3, 0, 2, 3, 1, 3, 2], [1, 0, 0, 0, 0, 0, 1, 1, 0], [1, 1, 1, 1, 1, 0]]",0.14605219902627853,"[1, 1, 2, 4, 4, 8, 9, 6]",7,(((Constant+x[1]/(x[1]+x[1]))*x[1])/(x[1]-Constant/Constant*x[0])) + Constant*x[0]**Constant + Constant*x[1]**Constant,(((2.501449939941314+x[1]/(x[1]+x[1]))*x[1])/(x[1]-25.39761246945794/46.089412621755706*x[0])) + -1.1480171828252437*x[0]**0.6008247173033845 + 2.9726540183275816*x[1]**-20.937111418586984,"[  2.50144994  25.39761247  46.08941262  -1.14801718   0.60082472
   2.97265402 -20.93711142]",0.15658087531560197,"{'fitness 25': 0.12655586603897426, 'fitness 53': 0.15695993314622844, 'fitness 74': 0.15658087531560197, 'fitness 102': 0.15464079789363286}",True
2,"[[0], [1], [1, 3], [2, 2], [1, 0], [2, 0, 2, 2], [1, 1, 1, 1, 0], [0]]",0.1467697454259392,"[1, 1, 2, 2, 2, 4, 5, 1]",6,((((Constant*Constant)**Constant)+(Constant*Constant**Constant))*x[0]) + Constant*x[0]**Constant + Constant*x[1]**Constant,((((-40.02523830089507*-9.563476163098516)**-7.065498288467702)+(-8.167205465653778*16.430431280526566**-23.32923210126555))*x[0]) + 1.783629059279333*x[0]**-0.43374338848146987 + 32.12270318511554*x[1]**-47.784978289891576,"[-40.0252383   -9.56347616  -7.06549829  -8.16720547  16.43043128
 -23.3292321    1.78362906  -0.43374339  32.12270319 -47.78497829]",0.14478862906091583,"{'fitness 25': 0.14669356418146734, 'fitness 53': 0.14655138577866353, 'fitness 74': 0.14478862906091583, 'fitness 102': 0.14706428631768675}",True
3,"[[0], [1], [1, 3], [2, 2], [0, 1, 2, 1], [1, 3, 3, 3, 2, 3, 1], [1, 0, 1, 0, 0, 0, 1, 1], [0, 1, 1]]",0.14936474053017315,"[1, 1, 2, 2, 2, 4, 5, 3]",7,(((Constant-x[0]**Constant)/((Constant/x[1])**Constant))/x[1]) + Constant*x[0]**Constant + Constant*x[1]**Constant,(((-3.661043167605013-x[0]**7.276359052830093)/((32.81726367994864/x[1])**-4.24896471463892))/x[1]) + 1.792337276631344*x[0]**-0.4398467604021783 + 1.007258042689144*x[1]**-8.482103031068048,"[-3.66104317  7.27635905 32.81726368 -4.24896471  1.79233728 -0.43984676
  1.00725804 -8.48210303]",0.1423593544893404,"{'fitness 25': 0.15440187463844637, 'fitness 53': 0.14672050319448604, 'fitness 74': 0.1423593544893404, 'fitness 102': 0.14697184375758712}",True
4,"[[0], [2], [2], [1, 1, 2, 0], [0, 0], [2, 3, 1, 3, 3, 0, 2, 0, 3], [1, 1, 1, 1], [0, 0, 1, 0]]",0.15463876844875885,"[1, 1, 1, 1, 2, 3, 4, 0]",6,(((Constant*Constant/Constant-Constant)**Constant)**Constant) + Constant*x[0]**Constant + Constant*x[1]**Constant,(((-7.274959037805466*-19.101589260583417/17.35660936572739--25.1603378211956)**6.132661632157018)**-22.274047153607142) + 1.7772828407702512*x[0]**-0.2964795514487646 + 7.193969651418704*x[1]**-25.50698393314527,"[ -7.27495904 -19.10158926  17.35660937 -25.16033782   6.13266163
 -22.27404715   1.77728284  -0.29647955   7.19396965 -25.50698393]",0.18216309038701242,"{'fitness 25': 0.11245263131651868, 'fitness 53': 0.17772042781653175, 'fitness 74': 0.18216309038701242, 'fitness 102': 0.17374324621322612}",True
5,"[[0], [0], [3, 3], [], [], [3, 0, 3, 2, 0, 3], [1, 1], [0]]",0.15684350309308426,"[1, 1, 2, 0, 0, 1, 2, 0]",4,Constant/Constant + Constant*x[0]**Constant + Constant*x[1]**Constant,-28.50075773510539/-6.9248930355753835 + -2.3217030217535326*x[0]**0.4318913125216177 + -18.31781904669412*x[1]**-17.30930085794672,"[-28.50075774  -6.92489304  -2.32170302   0.43189131 -18.31781905
 -17.30930086]",0.16268037571003616,"{'fitness 25': 0.15523461283202952, 'fitness 53': 0.15169027313456485, 'fitness 74': 0.16268037571003616, 'fitness 102': 0.16360562331265835}",True
6,"[[0], [1], [3, 1], [2, 3, 0], [1, 0], [3, 2, 1, 1, 1], [0, 1, 1, 1, 1, 0], [0, 1]]",0.15778359166593522,"[1, 1, 2, 2, 1, 3, 4, 1]",6,(x[0]/(((Constant*Constant)**Constant)-Constant)) + Constant*x[0]**Constant + Constant*x[1]**Constant,(x[0]/(((-33.17950765870816*-9.905706464595513)**-34.417527235581005)-22.317082153251572)) + 1.9332392557695293*x[0]**-0.30933810724981037 + -17.264739057514728*x[1]**-11.753472733572396,"[-33.17950766  -9.90570646 -34.41752724  22.31708215   1.93323926
  -0.30933811 -17.26473906 -11.75347273]",0.14318705748407534,"{'fitness 25': 0.1682461370408402, 'fitness 53': 0.1568675265033264, 'fitness 74': 0.14318705748407534, 'fitness 102': 0.14823711145363908}",True
7,"[[0], [2], [0], [2, 3], [2], [0], [0, 0], [1, 1]]",0.1589374673063723,"[1, 1, 1, 2, 1, 1, 2, 2]",7,((x[1]**Constant)+x[1]**Constant) + Constant*x[0]**Constant + Constant*x[1]**Constant,((x[1]**-43.92481383872986)+x[1]**-42.04119280007836) + 1.88400060977963*x[0]**-0.3525129117449318 + -24.95129427101743*x[1]**-26.143793943237736,"[-43.92481384 -42.0411928    1.88400061  -0.35251291 -24.95129427
 -26.14379394]",0.14015937471501683,"{'fitness 25': 0.17379145226315784, 'fitness 53': 0.15566077868563807, 'fitness 74': 0.14015937471501683, 'fitness 102': 0.14736017097032098}",True
8,"[[0], [1], [0, 3], [3, 1, 2, 0], [0, 2, 1, 1, 2, 2, 2], [1, 3, 1, 3, 3, 3, 2], [1, 0, 0, 1, 1, 0, 0, 0], [0, 0, 1, 1, 0, 1]]",0.16289876837857353,"[1, 1, 2, 2, 2, 4, 5, 2]",7,(Constant-(x[0]/x[0]-Constant)/Constant) + Constant*x[0]**Constant + Constant*x[1]**Constant,(1.2396604036817358-(x[0]/x[0]-28.14920463814286)/25.746322029286976) + -0.42357160753802087*x[0]**1.622871634866872 + 7.859667941170625*x[1]**-17.182200332636853,"[  1.2396604   28.14920464  25.74632203  -0.42357161   1.62287163
   7.85966794 -17.18220033]",0.18061506337705144,"{'fitness 25': 0.1299683254486305, 'fitness 53': 0.18059359517284188, 'fitness 74': 0.18061506337705144, 'fitness 102': 0.1781343845142482}",True
9,"[[0], [2], [3], [], [], [], [0], [1]]",0.17292496746586686,"[1, 1, 1, 0, 0, 0, 1, 1]",5,(x[1]**Constant) + Constant*x[0]**Constant + Constant*x[1]**Constant,(x[1]**-25.235007587312055) + 1.8736488191013567*x[0]**-0.23308074534856438 + 7.363775153195604*x[1]**-46.561182782744005,[-25.23500759   1.87364882  -0.23308075   7.36377515 -46.56118278],0.1799513194711111,"{'fitness 25': 0.1538226539156949, 'fitness 53': 0.18829106499400666, 'fitness 74': 0.1799513194711111, 'fitness 102': 0.17666118348789903}",True
