,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [1], [1, 3], [2, 2], [1, 0], [2, 0, 2, 2], [1, 1, 1, 1, 0], [0]]",0.1467697454259392,6,((((Constant*Constant)**Constant)+(Constant*Constant**Constant))*x[0]) + Constant*x[0]**Constant + Constant*x[1]**Constant,"[1, 1, 2, 2, 2, 4, 5, 1]",((((-40.02523830089507*-9.563476163098516)**-7.065498288467702)+(-8.167205465653778*16.430431280526566**-23.32923210126555))*x[0]) + 1.783629059279333*x[0]**-0.43374338848146987 + 32.12270318511554*x[1]**-47.784978289891576,"[-40.0252383   -9.56347616  -7.06549829  -8.16720547  16.43043128
 -23.3292321    1.78362906  -0.43374339  32.12270319 -47.78497829]",0.14478862906091583,"{'fitness 25': 0.14669356418146734, 'fitness 53': 0.14655138577866353, 'fitness 74': 0.14478862906091583, 'fitness 102': 0.14706428631768675}",True
1,"[[0], [1], [3, 1], [2, 3, 0], [1, 0], [3, 2, 1, 1, 1], [0, 1, 1, 1, 1, 0], [0, 1]]",0.15778359166593522,6,(x[0]/(((Constant*Constant)**Constant)-Constant)) + Constant*x[0]**Constant + Constant*x[1]**Constant,"[1, 1, 2, 2, 1, 3, 4, 1]",(x[0]/(((-33.17950765870816*-9.905706464595513)**-34.417527235581005)-22.317082153251572)) + 1.9332392557695293*x[0]**-0.30933810724981037 + -17.264739057514728*x[1]**-11.753472733572396,"[-33.17950766  -9.90570646 -34.41752724  22.31708215   1.93323926
  -0.30933811 -17.26473906 -11.75347273]",0.14318705748407534,"{'fitness 25': 0.1682461370408402, 'fitness 53': 0.1568675265033264, 'fitness 74': 0.14318705748407534, 'fitness 102': 0.14823711145363908}",True
2,"[[0], [2], [0], [2, 3], [2], [0], [0, 0], [1, 1]]",0.1589374673063723,7,((x[1]**Constant)+x[1]**Constant) + Constant*x[0]**Constant + Constant*x[1]**Constant,"[1, 1, 1, 2, 1, 1, 2, 2]",((x[1]**-43.92481383872986)+x[1]**-42.04119280007836) + 1.88400060977963*x[0]**-0.3525129117449318 + -24.95129427101743*x[1]**-26.143793943237736,"[-43.92481384 -42.0411928    1.88400061  -0.35251291 -24.95129427
 -26.14379394]",0.14015937471501683,"{'fitness 25': 0.17379145226315784, 'fitness 53': 0.15566077868563807, 'fitness 74': 0.14015937471501683, 'fitness 102': 0.14736017097032098}",True
3,"[[0], [2], [3], [], [], [], [0], [1]]",0.17292496746586686,5,(x[1]**Constant) + Constant*x[0]**Constant + Constant*x[1]**Constant,"[1, 1, 1, 0, 0, 0, 1, 1]",(x[1]**-25.235007587312055) + 1.8736488191013567*x[0]**-0.23308074534856438 + 7.363775153195604*x[1]**-46.561182782744005,[-25.23500759   1.87364882  -0.23308075   7.36377515 -46.56118278],0.1799513194711111,"{'fitness 25': 0.1538226539156949, 'fitness 53': 0.18829106499400666, 'fitness 74': 0.1799513194711111, 'fitness 102': 0.17666118348789903}",True
4,"[[0], [1], [3, 0], [2, 3], [2], [3, 1], [0, 1, 1], [0]]",0.1920796498532359,6,(x[0]/(Constant**Constant)-Constant) + Constant*x[0]**Constant + Constant*x[1]**Constant,"[1, 1, 2, 2, 1, 2, 3, 1]",(x[0]/(7.093932570139977**12.306068771197141)--2.314540169063271) + -0.5640977023065081*x[0]**1.355611718993416 + 11.618723611340688*x[1]**-39.53612526490183,"[  7.09393257  12.30606877  -2.31454017  -0.5640977    1.35561172
  11.61872361 -39.53612526]",0.22985816046223367,"{'fitness 25': 0.1377995821565506, 'fitness 53': 0.2164934069474103, 'fitness 74': 0.22985816046223367, 'fitness 102': 0.2219459604557468}",True
5,"[[0], [0], [2, 0], [1, 3, 2], [2, 2, 2], [0, 0, 1], [0, 1, 0, 0], [1, 0, 0]]",0.22995862645190432,7,((x[1]+Constant)**Constant)+x[0]-(x[0]**Constant) + Constant*x[0]**Constant + Constant*x[1]**Constant,"[1, 1, 2, 3, 3, 3, 4, 3]",((x[1]+5.466210100501467)**-25.077797560267246)+x[0]-(x[0]**1.7137062652382333) + 1.9054273589489372*x[0]**0.10681424738787992 + 22.617679540855605*x[1]**-35.82808934466165,"[  5.4662101  -25.07779756   1.71370627   1.90542736   0.10681425
  22.61767954 -35.82808934]",0.24994262064520284,"{'fitness 25': 0.18372004162856226, 'fitness 53': 0.2566154802984939, 'fitness 74': 0.24994262064520284, 'fitness 102': 0.24954035742865682}",True
6,"[[0], [0], [0, 3], [1, 3], [0, 0], [0, 3, 0, 3, 3], [1, 0, 0, 1, 0, 0], [0, 0, 1, 1]]",0.2382989619430241,7,(Constant+x[0]/x[0]+Constant)/x[1]/x[1] + Constant*x[0]**Constant + Constant*x[1]**Constant,"[1, 1, 2, 2, 2, 5, 6, 4]",(-21.57569491443693+x[0]/x[0]+-16.622987195554213)/x[1]/x[1] + 1.6327427377758312*x[0]**-0.3226665551481398 + -8.78429454897624*x[1]**-9.113847901500204,"[-21.57569491 -16.6229872    1.63274274  -0.32266656  -8.78429455
  -9.1138479 ]",0.28254146415712444,"{'fitness 25': 0.1784401223879834, 'fitness 53': 0.26667626357876256, 'fitness 74': 0.28254146415712444, 'fitness 102': 0.26978049986232633}",True
7,"[[0], [1], [1, 0], [0, 1, 2, 0], [1, 2, 0, 1, 2, 2, 2], [2, 2, 1, 3, 3, 0, 2, 0, 3], [0, 0, 1, 0, 1, 0, 1, 1, 1, 1], [0, 0, 1, 0]]",0.24058679219784596,7,(((x[0]*x[0])*Constant-(x[1]/Constant/(x[0]+Constant)))*(Constant**Constant)+Constant/Constant) + Constant*x[0]**Constant + Constant*x[1]**Constant,"[1, 1, 2, 4, 7, 9, 10, 4]",(((x[0]*x[0])*-0.02265332720201929-(x[1]/-34.74024076431991/(x[0]+-25.483475727070953)))*(8.033593905731133**-20.293811540794483)+27.40217497680678/17.7057555452364) + 0.10217118354760701*x[0]**-2.236739416722842 + -17.262892493459653*x[1]**-48.51549226707721,"[-2.26533272e-02 -3.47402408e+01 -2.54834757e+01  8.03359391e+00
 -2.02938115e+01  2.74021750e+01  1.77057555e+01  1.02171184e-01
 -2.23673942e+00 -1.72628925e+01 -4.85154923e+01]",0.2774770259222054,"{'fitness 25': 0.18238275215099564, 'fitness 53': 0.27337690166219836, 'fitness 74': 0.2774770259222054, 'fitness 102': 0.26600072278034387}",True
8,"[[0], [1], [0, 1], [3, 2, 1, 2], [0, 1, 2, 1], [1, 3, 3, 3, 2, 3, 1], [1, 0, 1, 0, 1, 0, 1, 1], [1, 1, 0]]",0.2718327397254237,7,(Constant-(x[1]/Constant**Constant)/(((x[1]/Constant)*x[0])/((Constant-Constant)**Constant))) + Constant*x[0]**Constant + Constant*x[1]**Constant,"[1, 1, 2, 4, 4, 7, 8, 3]",(2.0966813389152352-(x[1]/-21.14427527979907**31.17991760453902)/(((x[1]/-21.725666793431145)*x[0])/((37.930157063840156--9.316107661043745)**11.018878298973618))) + -0.10818884084459057*x[0]**7.505047165745107 + 33.42830409106733*x[1]**-19.72113764122802,"[  2.09668134 -21.14427528  31.1799176  -21.72566679  37.93015706
  -9.31610766  11.0188783   -0.10818884   7.50504717  33.42830409
 -19.72113764]",0.2812152886439824,"{'fitness 25': 0.23688627937003767, 'fitness 53': 0.2927923129919903, 'fitness 74': 0.2812152886439824, 'fitness 102': 0.2858196268142431}",True
9,"[[0], [1], [1, 2], [3, 3, 0], [2, 1], [0, 3, 1, 3], [1, 0, 0, 1, 1], [0, 1]]",0.27791230535429373,7,((Constant+x[0])/(x[1]-(Constant/Constant)**Constant)) + Constant*x[0]**Constant + Constant*x[1]**Constant,"[1, 1, 2, 3, 2, 4, 5, 2]",((-22.728820123218835+x[0])/(x[1]-(-2.4540636545819137/-45.784821101700445)**6.244797456270945)) + 1.8685408627394702*x[0]**-0.5865461603957121 + -22.554201097568978*x[1]**-26.199211779077025,"[-22.72882012  -2.45406365 -45.7848211    6.24479746   1.86854086
  -0.58654616 -22.5542011  -26.19921178]",0.225924738648993,"{'fitness 25': 0.3169187964960544, 'fitness 53': 0.25859066798579294, 'fitness 74': 0.225924738648993, 'fitness 102': 0.25822745158103383}",True
