,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [2], [2], [2], [0], [2], [0, 0], [1, 1]]",0.35263567076403585,7,(((x[1]*x[1]**Constant)**Constant)**Constant),"[1, 1, 1, 1, 1, 1, 2, 2]",(((x[1]*x[1]**0.4927749392869639)**0.05874594936824684)**0.9322610422793729),[0.49277494 0.05874595 0.93226104],0.37049802418386035,"{'fitness 25': 0.31045389363507814, 'fitness 53': 0.3756864159872015, 'fitness 74': 0.371766702669828, 'fitness 102': 0.37049802418386035}",False
1,"[[0], [1], [2, 2], [2, 2], [1, 2], [3, 3], [0, 1, 1], [1]]",0.3610007070908197,7,((((x[1]/Constant)**Constant)**Constant)/((Constant**Constant)**Constant)),"[1, 1, 2, 2, 2, 2, 3, 1]",((((x[1]/0.4927749392869639)**0.05874594936824684)**0.9322610422793729)/((0.1576841747424489**0.8554984724979569)**0.04686451672818437)),[0.49277494 0.05874595 0.93226104 0.15768417 0.85549847 0.04686452],0.3973636655723745,"{'fitness 25': 0.2902814618784798, 'fitness 53': 0.3947554524262218, 'fitness 74': 0.39796520696775756, 'fitness 102': 0.3973636655723745}",False
2,"[[0], [2], [1], [1, 0], [2, 1, 0, 2], [1, 1, 3, 1, 2], [0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0]]",0.3655544080890016,7,(((x[1]-(x[0]-x[1]))/x[0]-x[0]*Constant)**Constant),"[1, 1, 1, 2, 4, 5, 6, 5]",(((x[1]-(x[0]-x[1]))/x[0]-x[0]*0.4927749392869639)**0.05874594936824684),[0.49277494 0.05874595],0.406540269558481,"{'fitness 25': 0.28886738106579296, 'fitness 53': 0.39938213222631747, 'fitness 74': 0.4084137109748942, 'fitness 102': 0.406540269558481}",False
3,"[[0], [2], [1], [2, 0], [1, 0, 1], [2, 0, 1, 2, 3], [0, 0, 1, 0, 1, 0], [1, 0, 0, 0]]",0.39205566745801557,7,((((x[1]*x[0])**Constant)+Constant-x[0]*(Constant/x[0]))**Constant),"[1, 1, 1, 2, 3, 5, 6, 4]",((((x[1]*x[0])**0.4927749392869639)+0.05874594936824684-x[0]*(0.9322610422793729/x[0]))**0.1576841747424489),[0.49277494 0.05874595 0.93226104 0.15768417],0.4207157268950854,"{'fitness 25': 0.3342805892213867, 'fitness 53': 0.4220807300566011, 'fitness 74': 0.4198056830960588, 'fitness 102': 0.4207157268950854}",False
4,"[[0], [2], [2], [2], [0], [0], [0, 0], [1, 1]]",0.4662967094625075,7,(((x[1]+x[1]**Constant)**Constant)**Constant),"[1, 1, 1, 1, 1, 1, 2, 2]",(((x[1]+x[1]**0.4927749392869639)**0.05874594936824684)**0.9322610422793729),[0.49277494 0.05874595 0.93226104],0.5096874318452952,"{'fitness 25': 0.3880594109756679, 'fitness 53': 0.5007770076739977, 'fitness 74': 0.5100537097378569, 'fitness 102': 0.5096874318452952}",False
5,"[[0], [2], [2], [1], [1, 0], [2, 0, 3], [0, 0, 1, 0], [0, 1, 0]]",0.4910978371986639,7,((((x[0]*x[1])+Constant/x[0])**Constant)**Constant),"[1, 1, 1, 1, 2, 3, 4, 3]",((((x[0]*x[1])+0.4927749392869639/x[0])**0.05874594936824684)**0.9322610422793729),[0.49277494 0.05874595 0.93226104],0.5346788178150472,"{'fitness 25': 0.4133010116756086, 'fitness 53': 0.5264490147825918, 'fitness 74': 0.5335434851377914, 'fitness 102': 0.5346788178150472}",False
6,"[[0], [0], [2, 2], [3, 2], [0], [2, 0], [1, 0, 1], [0]]",0.5453973511520328,7,(Constant**Constant)*((x[0]+Constant**Constant)**Constant),"[1, 1, 2, 2, 1, 2, 3, 1]",(0.4927749392869639**0.05874594936824684)*((x[0]+0.9322610422793729**0.1576841747424489)**0.8554984724979569),[0.49277494 0.05874595 0.93226104 0.15768417 0.85549847],0.57202365444293,"{'fitness 25': 0.48818898198918387, 'fitness 53': 0.5812888580986459, 'fitness 74': 0.5667142133682689, 'fitness 102': 0.57202365444293}",False
7,"[[0], [2], [2], [1], [1, 0], [2, 0, 3], [0, 0, 0, 1], [1, 1, 1]]",0.6477002280918501,7,((((x[1]*x[1])+x[1]/Constant)**Constant)**Constant),"[1, 1, 1, 1, 2, 3, 4, 3]",((((x[1]*x[1])+x[1]/0.4927749392869639)**0.05874594936824684)**0.9322610422793729),[0.49277494 0.05874595 0.93226104],0.6157367622135668,"{'fitness 25': 0.676050861056812, 'fitness 53': 0.6440972182911656, 'fitness 74': 0.6229526049275729, 'fitness 102': 0.6157367622135668}",False
8,"[[0], [2], [2], [2], [1], [3], [1, 1], []]",0.6534817793577438,6,((((Constant/Constant)**Constant)**Constant)**Constant),"[1, 1, 1, 1, 1, 1, 2, 0]",((((0.4927749392869639/0.05874594936824684)**0.9322610422793729)**0.1576841747424489)**0.8554984724979569),[0.49277494 0.05874595 0.93226104 0.15768417 0.85549847],0.6881617681932779,"{'fitness 25': 0.5856085161405404, 'fitness 53': 0.6834703029915346, 'fitness 74': 0.6913665189411563, 'fitness 102': 0.6881617681932779}",False
9,"[[0], [2], [2], [1], [1, 2], [0, 1], [0, 0, 0], [1, 0, 0]]",0.6992452990986653,7,((((x[1]+x[0])-x[0])**Constant)**Constant),"[1, 1, 1, 1, 2, 2, 3, 3]",((((x[1]+x[0])-x[0])**0.4927749392869639)**0.05874594936824684),[0.49277494 0.05874595],0.738714159701808,"{'fitness 25': 0.627790940087032, 'fitness 53': 0.7294738004957422, 'fitness 74': 0.7404711567132216, 'fitness 102': 0.738714159701808}",False
