,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [1, 3], [0, 2], [2, 1, 3], [2, 2, 1], [0, 3, 0, 1, 2, 0, 3, 0, 0], [0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0], [0, 1, 1, 1, 1, 1, 0]]",0.14068121658542293,"[1, 2, 2, 3, 3, 4, 6, 4]",7,((x[0]**Constant)+(x[1]/(x[1]+Constant))-(Constant**Constant))+ x[1]*x[1]**Constant,((x[0]**-0.6415353855840251)+(x[1]/(x[1]+-1.8759554524844337))-(1.2120504921574191**-8.515005721481794))+ x[1]*x[1]**-44.150420135913485,[ -0.64153539  -1.87595545   1.21205049  -8.51500572 -44.15042014],0.13991041630285753,"{'fitness 25': 0.13744536602179466, 'fitness 53': 0.14634016785649526, 'fitness 74': 0.13902891616054425, 'fitness 102': 0.13991041630285753}",True
1,"[[0], [0, 3], [3, 3], [], [1, 1, 1, 0, 2, 0], [1], [1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0], [0]]",0.1493890555241334,"[1, 2, 2, 0, 0, 1, 3, 1]",5,Constant-x[0]+ Constant*x[1]**Constant,2.855907240906403-x[0]+ -13.763067930568676*x[1]**-3.588751353826881,[  2.85590724 -13.76306793  -3.58875135],0.15387510785748879,"{'fitness 25': 0.14920902171696937, 'fitness 53': 0.14392453157085555, 'fitness 74': 0.15054756095121985, 'fitness 102': 0.15387510785748879}",True
2,"[[0], [1, 3], [3, 3], [3, 0, 1], [0, 2, 1, 2], [1], [1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0], [0]]",0.1493890555241334,"[1, 2, 2, 0, 0, 1, 3, 1]",5,(Constant-x[0])+ Constant*x[1]**Constant,(2.855907240906403-x[0])+ -13.763067930568676*x[1]**-3.588751353826881,[  2.85590724 -13.76306793  -3.58875135],0.15387510785748879,"{'fitness 25': 0.14920902171696937, 'fitness 53': 0.14392453157085555, 'fitness 74': 0.15054756095121985, 'fitness 102': 0.15387510785748879}",True
3,"[[0], [0, 3], [1, 3], [2, 3, 0], [2, 1, 1], [1, 1, 1, 3], [0, 1, 0, 1, 0, 0], [1, 0, 1]]",0.1494845801171401,"[1, 2, 2, 2, 1, 2, 4, 2]",7,((x[1]**Constant)-Constant)-x[0]+ Constant*x[1]**Constant,((x[1]**-28.377130001295335)--2.872936802690126)-x[0]+ -34.82468727165867*x[1]**-17.211540609768367,[-28.37713     -2.8729368  -34.82468727 -17.21154061],0.15198256481711547,"{'fitness 25': 0.1563825100917975, 'fitness 53': 0.14296404145726446, 'fitness 74': 0.14660920410238293, 'fitness 102': 0.15198256481711547}",True
4,"[[0], [1, 3], [0, 2], [2, 1, 3], [2, 2, 1], [0, 0, 1, 0], [1, 1, 1, 0, 1, 0], [0, 1]]",0.14990682853058745,"[1, 2, 2, 3, 3, 4, 6, 2]",7,((Constant**Constant)+(Constant+(Constant-x[0]))+(Constant**Constant))+ x[1]*x[1]**Constant,((23.94751261708409**-22.107671281464345)+(27.137299911554646+(-24.25884747155911-x[0]))+(-36.01114501321667**-16.856130809730463))+ x[1]*x[1]**-42.58983635244949,"[ 23.94751262 -22.10767128  27.13729991 -24.25884747 -36.01114501
 -16.85613081 -42.58983635]",0.1517747347652503,"{'fitness 25': 0.15902782696190063, 'fitness 53': 0.14308675800906628, 'fitness 74': 0.14573799438613264, 'fitness 102': 0.1517747347652503}",True
5,"[[0], [0, 3], [3, 3], [], [1, 1, 1, 0, 2, 0], [1], [1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0], [0, 0]]",0.15049558186667028,"[1, 2, 2, 0, 0, 1, 3, 2]",5,Constant-x[0]+ x[0]*x[1]**Constant,2.8432376053190502-x[0]+ x[0]*x[1]**-2.2527346379047994,[ 2.84323761 -2.25273464],0.1564751325825018,"{'fitness 25': 0.14494374663729437, 'fitness 53': 0.1459299448601092, 'fitness 74': 0.1546335033867757, 'fitness 102': 0.1564751325825018}",True
6,"[[0], [1, 3], [0, 2], [2, 1, 3], [2, 1, 1], [0, 2, 1, 0, 0], [1, 1, 1, 0, 1, 0, 0], [0, 1, 1]]",0.15129164760955785,"[1, 2, 2, 3, 3, 5, 7, 3]",7,((Constant**Constant)+((Constant*Constant)-(x[0]+Constant))+(x[1]**Constant))+ x[1]*x[1]**Constant,((-9.425865806771276**-11.150720862871152)+((7.430662074413106*-1.900625676303223)-(x[0]+-16.960593843970273))+(x[1]**-29.947693624372516))+ x[1]*x[1]**-26.397298359905452,"[ -9.42586581 -11.15072086   7.43066207  -1.90062568 -16.96059384
 -29.94769362 -26.39729836]",0.15792135600024196,"{'fitness 25': 0.1433880787657385, 'fitness 53': 0.14714404686213908, 'fitness 74': 0.15671310881011188, 'fitness 102': 0.15792135600024196}",True
7,"[[0], [1, 0], [3, 3, 1, 0], [3, 2, 3, 1], [1, 1, 1, 0, 2, 0], [1, 0, 1, 1, 2, 3, 0, 3], [1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 1, 1, 0, 1]]",0.15305725057163935,"[1, 2, 4, 4, 3, 8, 10, 3]",7,(Constant-x[0])+ (Constant+((Constant-Constant)**Constant))-Constant*((Constant/Constant)+(x[1]/x[0]))*x[1]**Constant,(21.210044503302903-x[0])+ (-18.381733248693045+((28.59181199885392--7.770398781060777)**-40.88240343296565))--47.91182154410239*((-26.851710772166342/-42.661971896147946)+(x[1]/x[0]))*x[1]**-23.268137819083755,"[ 21.2100445  -18.38173325  28.591812    -7.77039878 -40.88240343
 -47.91182154 -26.85171077 -42.6619719  -23.26813782]",0.16077016205506175,"{'fitness 25': 0.1412178499638193, 'fitness 53': 0.14964051816150656, 'fitness 74': 0.16060047210616984, 'fitness 102': 0.16077016205506175}",True
8,"[[0], [0, 3], [1, 2], [2, 3, 0], [2, 2, 1], [1, 1, 1, 3], [0, 1, 0, 1, 0, 1], [1, 0, 1]]",0.15397010015778095,"[1, 2, 2, 3, 3, 4, 6, 3]",7,((x[1]**Constant)-Constant)-(x[0]-(Constant/x[1])**Constant)+ Constant*x[1]**Constant,((x[1]**-6.580813966567135)--2.8243041723295197)-(x[0]-(9.015096700434496/x[1])**13.945462904185)+ -2.001645347875695*x[1]**-37.615288494359625,"[ -6.58081397  -2.82430417   9.0150967   13.9454629   -2.00164535
 -37.61528849]",0.1621379146282113,"{'fitness 25': 0.1404710556554007, 'fitness 53': 0.15087271857670342, 'fitness 74': 0.16239871177080842, 'fitness 102': 0.1621379146282113}",True
9,"[[0], [0, 3], [1, 2], [2, 3, 0], [2, 2, 1], [1, 1, 0, 3], [0, 1, 0, 1, 0, 1], [1, 0, 1]]",0.15397010015778095,"[1, 2, 2, 3, 3, 4, 6, 3]",7,((x[1]**Constant)-Constant)-(x[0]+(Constant/x[1])**Constant)+ Constant*x[1]**Constant,((x[1]**-6.580813966567135)--2.8243041723295197)-(x[0]+(9.015096700434496/x[1])**13.945462904185)+ -2.001645347875695*x[1]**-37.615288494359625,"[ -6.58081397  -2.82430417   9.0150967   13.9454629   -2.00164535
 -37.61528849]",0.1621379146282113,"{'fitness 25': 0.1404710556554007, 'fitness 53': 0.15087271857670342, 'fitness 74': 0.16239871177080842, 'fitness 102': 0.1621379146282113}",True
10,"[[0], [0, 2], [1, 3, 3, 3], [2, 3, 3, 1], [2, 2, 1, 2], [1, 1, 1, 3, 0, 1, 2, 2], [1, 1, 0, 0, 0, 1, 1, 1, 1, 1], [0, 1, 0]]",0.15460823286060887,"[1, 2, 3, 2, 1, 2, 4, 2]",6,((Constant**Constant)-Constant)-x[0]+ (x[1]**Constant)*x[1]**Constant,((5.888676961182466**-3.6741000570024562)--2.9036673180363763)-x[0]+ (x[1]**-45.26174337366162)*x[1]**5.409788530572245,[  5.88867696  -3.67410006  -2.90366732 -45.26174337   5.40978853],0.15359031918996807,"{'fitness 25': 0.17374788891143586, 'fitness 53': 0.146641424686212, 'fitness 74': 0.14445329865481957, 'fitness 102': 0.15359031918996807}",True
11,"[[0], [3, 0], [0, 2], [2, 1, 1, 1], [2, 2, 1, 2, 2, 0, 2, 1], [0, 0, 1, 1, 3, 3, 3, 1], [1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0], [0, 0, 1]]",0.15480909809101606,"[1, 2, 2, 3, 5, 5, 7, 2]",7,Constant+ (Constant**Constant)+(Constant+(Constant-x[0]))-((x[0]/Constant)**Constant)*x[1]**Constant,8.158527754322233+ (-0.5714929300020497**6.635101319801941)+(15.389191968891817+(-20.702363301440254-x[0]))-((x[0]/5.023215643768101)**5.655139831583007)*x[1]**-22.529819542060068,"[  8.15852775  -0.57149293   6.63510132  15.38919197 -20.7023633
   5.02321564   5.65513983 -22.52981954]",0.1633545521198878,"{'fitness 25': 0.13992913046854205, 'fitness 53': 0.15198226012495947, 'fitness 74': 0.1639704496506749, 'fitness 102': 0.1633545521198878}",True
