,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
37,"[[0], [1], [2, 0], [2, 3, 2], [0, 1, 0, 2], [3, 0, 3, 3, 1, 0], [1, 0, 1, 1, 0, 1, 0], [0, 0]]",0.5846029297062251,"[1, 1, 2, 3, 2, 4, 5, 2]",7,(((Constant/x[0]**Constant)**Constant)+Constant/((Constant/x[0])**Constant)),(((0.28305880458154997/x[0]**0.7625066428487729)**0.8476292846322512)+0.8537280917215861/((0.3164919138564275/x[0])**0.13735171020599313)),[0.2830588  0.76250664 0.84762928 0.85372809 0.31649191 0.13735171],0.6175374557316655,"{'fitness 25': 0.5166988442005219, 'fitness 53': 0.6128647856203212, 'fitness 74': 0.6242451592978322, 'fitness 102': 0.6175374557316655}",False
38,"[[0], [0], [0, 3], [3, 0], [2, 0], [1, 1, 0, 3], [1, 1, 1, 1, 1], []]",0.5974708682659385,"[1, 1, 2, 2, 2, 4, 5, 0]",6,Constant-Constant-Constant+Constant/Constant,0.28305880458154997-0.7625066428487729-0.8476292846322512+0.8537280917215861/0.3164919138564275,[0.2830588  0.76250664 0.84762928 0.85372809 0.31649191],0.6320256410187507,"{'fitness 25': 0.5289290998753081, 'fitness 53': 0.6282462088267581, 'fitness 74': 0.6352372960957492, 'fitness 102': 0.6320256410187507}",False
39,"[[0], [0], [2, 0], [2, 2, 2], [2, 2, 2], [0, 0, 2, 3, 1, 2, 3], [1, 1, 0, 1, 1, 0, 1], [0, 0, 0, 0, 1, 0]]",0.6035176683633309,"[1, 1, 2, 3, 3, 2, 3, 1]",7,((Constant**Constant)**Constant)+(Constant**Constant)+(x[0]**Constant),((0.28305880458154997**0.7625066428487729)**0.8476292846322512)+(0.8537280917215861**0.3164919138564275)+(x[0]**0.13735171020599313),[0.2830588  0.76250664 0.84762928 0.85372809 0.31649191 0.13735171],0.5830444456148565,"{'fitness 25': 0.623998786087379, 'fitness 53': 0.6033289820304765, 'fitness 74': 0.5832252369721371, 'fitness 102': 0.5830444456148565}",False
40,"[[0], [0], [2, 3], [0, 2], [0, 2, 1], [2, 0, 3, 0], [0, 0, 1, 0, 0], [0, 0, 0, 0]]",0.6268861140414509,"[1, 1, 2, 1, 2, 3, 4, 3]",7,(x[0]*x[0]+Constant**Constant)/x[0],(x[0]*x[0]+0.28305880458154997**0.7625066428487729)/x[0],[0.2830588  0.76250664],0.6599250190960675,"{'fitness 25': 0.5592554064409788, 'fitness 53': 0.6595578091480241, 'fitness 74': 0.6618451265353499, 'fitness 102': 0.6599250190960675}",False
41,"[[0], [1], [2, 2], [1, 3, 2], [0, 2, 2], [0, 3, 0, 0, 1, 1], [0, 1, 1, 1, 0, 1, 1, 0, 0], [0, 0, 0]]",0.634208535613746,"[1, 1, 2, 2, 2, 3, 4, 1]",7,(((x[0]+Constant/Constant)**Constant)+(Constant**Constant)),(((x[0]+0.28305880458154997/0.7625066428487729)**0.8476292846322512)+(0.8537280917215861**0.3164919138564275)),[0.2830588  0.76250664 0.84762928 0.85372809 0.31649191],0.6252396416282944,"{'fitness 25': 0.6274599748599466, 'fitness 53': 0.6478004777656717, 'fitness 74': 0.6273651542156199, 'fitness 102': 0.6252396416282944}",False
42,"[[0], [1], [1, 2], [2, 3, 2], [2, 1, 1], [3, 2, 0, 2, 3, 3, 2], [0, 0, 1, 1, 0, 1, 0, 1, 0], [0, 0, 0, 0, 1]]",0.6505420595657563,"[1, 1, 2, 3, 2, 3, 4, 2]",7,(((x[0]**Constant)/x[0])*(((Constant+Constant)**Constant)**Constant)),(((x[0]**0.28305880458154997)/x[0])*(((0.7625066428487729+0.8476292846322512)**0.8537280917215861)**0.3164919138564275)),[0.2830588  0.76250664 0.84762928 0.85372809 0.31649191],0.6718220413649154,"{'fitness 25': 0.5976322782239747, 'fitness 53': 0.6632057248646083, 'fitness 74': 0.690788175608686, 'fitness 102': 0.6718220413649154}",False
43,"[[0], [2], [2, 2], [1, 0, 3], [0, 1, 1], [0, 0, 0, 0, 1, 1], [1, 1, 1, 0, 1, 0, 1], [0, 0, 0]]",0.6526689668765983,"[1, 1, 1, 1, 2, 3, 4, 1]",7,(((Constant+Constant+(Constant+x[0]))**Constant)**Constant),(((0.28305880458154997+0.7625066428487729+(0.8476292846322512+x[0]))**0.8537280917215861)**0.3164919138564275),[0.2830588  0.76250664 0.84762928 0.85372809 0.31649191],0.6880349290735972,"{'fitness 25': 0.5843656918749056, 'fitness 53': 0.6843170965610387, 'fitness 74': 0.6893241121938508, 'fitness 102': 0.6880349290735972}",False
44,"[[0], [2], [0], [2, 2], [0, 1], [3, 0, 1], [1, 1, 1, 1], []]",0.6563423627178512,"[1, 1, 1, 2, 2, 3, 4, 0]",6,((Constant/Constant**Constant)+((Constant-Constant)**Constant)**Constant),((0.28305880458154997/0.7625066428487729**0.8476292846322512)+((0.8537280917215861-0.3164919138564275)**0.13735171020599313)**0.6350634911922938),"[0.2830588  0.76250664 0.84762928 0.85372809 0.31649191 0.13735171
 0.63506349]",0.6910262122700626,"{'fitness 25': 0.5885036698291146, 'fitness 53': 0.6862929349094351, 'fitness 74': 0.6942304834150037, 'fitness 102': 0.6910262122700626}",False
45,"[[0], [0], [1, 2], [2, 2, 2], [1, 1, 2, 0, 2], [3, 2, 0, 0, 3, 3, 2], [1, 0, 1, 1, 1, 0, 1], [0, 0, 0, 1, 1]]",0.6708715028607929,"[1, 1, 2, 3, 3, 4, 5, 1]",7,(((Constant/x[0])**Constant)*((Constant+Constant)**Constant))+((Constant**Constant)**Constant),(((0.28305880458154997/x[0])**0.7625066428487729)*((0.8476292846322512+0.8537280917215861)**0.3164919138564275))+((0.13735171020599313**0.6350634911922938)**0.24308721389887755),"[0.2830588  0.76250664 0.84762928 0.85372809 0.31649191 0.13735171
 0.63506349 0.24308721]",0.7001712953151511,"{'fitness 25': 0.6073195662819544, 'fitness 53': 0.6927581103189148, 'fitness 74': 0.7125368319815094, 'fitness 102': 0.7001712953151511}",False
46,"[[0], [0], [0, 0], [3, 3, 2, 3], [2, 1, 2], [2, 0, 3, 2, 3], [1, 1, 1, 0, 1, 0, 1, 1, 1], [0, 1, 0, 0, 1]]",0.6837028161403933,"[1, 1, 2, 4, 1, 3, 4, 1]",6,Constant*Constant+(Constant**Constant)/x[0],0.28305880458154997*0.7625066428487729+(0.8476292846322512**0.8537280917215861)/x[0],[0.2830588  0.76250664 0.84762928 0.85372809],0.7025871172584999,"{'fitness 25': 0.6343786142766753, 'fitness 53': 0.6950590179286017, 'fitness 74': 0.7216708162159028, 'fitness 102': 0.7025871172584999}",False
