,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [0], [0, 2], [3, 2, 3], [2, 2], [2, 2], [1, 0, 0], [1, 0]]",3.1352727163679073,7,Constant*(x[1]**Constant)*(x[0]**Constant),"[1, 1, 2, 3, 1, 2, 3, 2]",0.8722961365736599*(x[1]**0.1590266885875664)*(x[0]**0.6668538375296034),[0.87229614 0.15902669 0.66685384],3.6646140441656176,"{'fitness 25': 2.6129622745462786, 'fitness 53': 3.4066836545354673, 'fitness 74': 3.3861722200219755, 'fitness 102': 3.6646140441656176}",False
1,"[[0], [1], [1, 3], [2, 2], [2, 0], [1, 1, 3], [1, 0, 1, 0], [0, 0]]",3.510211447575585,7,(((Constant**Constant)-(x[0]-Constant**Constant))/x[0]),"[1, 1, 2, 2, 2, 3, 4, 2]",(((0.8722961365736599**0.1590266885875664)-(x[0]-0.6668538375296034**0.8459378542008554))/x[0]),[0.87229614 0.15902669 0.66685384 0.84593785],3.9712430921279354,"{'fitness 25': 3.0494750503006487, 'fitness 53': 3.7037925304207366, 'fitness 74': 3.777366762005369, 'fitness 102': 3.9712430921279354}",False
2,"[[0], [2], [0], [2, 3], [2], [3], [1, 0], [0]]",3.6584364217788043,6,((Constant**Constant)/x[0]**Constant),"[1, 1, 1, 2, 1, 1, 2, 1]",((0.8722961365736599**0.1590266885875664)/x[0]**0.6668538375296034),[0.87229614 0.15902669 0.66685384],4.160934457337413,"{'fitness 25': 3.1677789209365153, 'fitness 53': 3.887159350105296, 'fitness 74': 3.920370994294603, 'fitness 102': 4.160934457337413}",False
3,"[[0], [1], [1, 2], [1, 0, 3], [2, 1, 2, 2], [0, 0, 2, 3, 0], [1, 0, 0, 1, 0, 1], [0, 0, 0]]",3.671165256006501,7,(((Constant+(x[0]+x[0]))*Constant/x[0])+(Constant**Constant)),"[1, 1, 2, 3, 4, 5, 6, 3]",(((0.8722961365736599+(x[0]+x[0]))*0.1590266885875664/x[0])+(0.6668538375296034**0.8459378542008554)),[0.87229614 0.15902669 0.66685384 0.84593785],4.187360820884238,"{'fitness 25': 3.1710524622903264, 'fitness 53': 3.9123878195699087, 'fitness 74': 3.9300554861592683, 'fitness 102': 4.187360820884238}",False
4,"[[0], [2], [2], [2], [2], [], [1], []]",3.871349285639225,6,(((Constant**Constant)**Constant)**Constant),"[1, 1, 1, 1, 1, 0, 1, 0]",(((0.8722961365736599**0.1590266885875664)**0.6668538375296034)**0.8459378542008554),[0.87229614 0.15902669 0.66685384 0.84593785],4.388660465382669,"{'fitness 25': 3.374638915790279, 'fitness 53': 4.11197367466729, 'fitness 74': 4.127435266460106, 'fitness 102': 4.388660465382669}",False
5,"[[0], [2], [2], [3], [], [], [1], []]",3.8731422827360475,5,((Constant**Constant)**Constant),"[1, 1, 1, 1, 0, 0, 1, 0]",((0.8722961365736599**0.1590266885875664)**0.6668538375296034),[0.87229614 0.15902669 0.66685384],4.3904243310869715,"{'fitness 25': 3.376488558951639, 'fitness 53': 4.1137221034537905, 'fitness 74': 4.129216185802713, 'fitness 102': 4.3904243310869715}",False
6,"[[0], [2], [3], [], [], [], [1], []]",3.878931873974467,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.8722961365736599**0.1590266885875664),[0.87229614 0.15902669],4.3961197283868785,"{'fitness 25': 3.382460978291075, 'fitness 53': 4.11936795085207, 'fitness 74': 4.134966692780255, 'fitness 102': 4.3961197283868785}",False
7,"[[0], [2], [2], [2], [2], [], [0], [0]]",3.8850424801710184,7,(((x[0]**Constant)**Constant)**Constant),"[1, 1, 1, 1, 1, 0, 1, 1]",(((x[0]**0.8722961365736599)**0.1590266885875664)**0.6668538375296034),[0.87229614 0.15902669 0.66685384],4.403928891323695,"{'fitness 25': 3.3876103980840897, 'fitness 53': 4.126877168962731, 'fitness 74': 4.140639873466234, 'fitness 102': 4.403928891323695}",False
8,"[[0], [2], [2], [3], [], [], [0], [0]]",3.896249408551373,6,((x[0]**Constant)**Constant),"[1, 1, 1, 1, 0, 0, 1, 1]",((x[0]**0.8722961365736599)**0.1590266885875664),[0.87229614 0.15902669],4.415800128847134,"{'fitness 25': 3.3986362365879743, 'fitness 53': 4.13852271868841, 'fitness 74': 4.151589270377734, 'fitness 102': 4.415800128847134}",False
9,"[[0], [0], [1, 0], [1, 1, 3, 2], [1, 2, 1, 2, 2], [3, 2, 1, 3, 3, 3, 2], [1, 0, 0, 1, 1, 1, 1, 0], [1, 1, 1]]",3.9537944994097316,7,(((Constant/x[1])*x[1])-((Constant/Constant)/Constant))/Constant*(x[1]**Constant),"[1, 1, 2, 4, 5, 7, 8, 3]",(((0.8722961365736599/x[1])*x[1])-((0.1590266885875664/0.6668538375296034)/0.8459378542008554))/0.8844667770438143*(x[1]**0.036109501676126476),[0.87229614 0.15902669 0.66685384 0.84593785 0.88446678 0.0361095 ],4.474341481877839,"{'fitness 25': 3.455627302937607, 'fitness 53': 4.193289748549769, 'fitness 74': 4.212466446741818, 'fitness 102': 4.474341481877839}",False
