   0,3.341500e+00,3.749413e+03,1.046118e+04, 100
   1,9.748785e-01,4.244741e+02,1.452405e+03, 100
   2,9.748785e-01,7.614360e+02,3.001717e+03, 100
   0,3.135273e+00,1.378297e+03,2.273973e+03, 100
   1,7.941211e-01,3.201639e+02,9.962651e+02, 100
   2,7.941211e-01,1.365564e+02,5.280555e+02, 100
   3,7.941211e-01,6.531411e+01,3.068795e+02, 100
   4,7.941211e-01,2.934446e+02,1.188527e+03, 100
   5,7.941211e-01,2.107095e+02,8.608365e+02, 100
   6,7.941211e-01,6.008000e+02,2.390097e+03, 100
   7,7.941211e-01,4.122121e+02,1.427797e+03, 100
   8,7.941211e-01,2.547546e+02,1.189617e+03, 100
   9,7.941211e-01,5.295457e+02,2.287435e+03, 100
  10,7.941211e-01,1.649789e+02,7.200238e+02, 100
