,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
0,"[[0], [0], [0, 2], [3, 2, 3], [2, 2], [2, 2], [1, 0, 0], [1, 0]]",0.7941211064680972,7,Constant*(x[1]**Constant)*(x[0]**Constant),"[1, 1, 2, 3, 1, 2, 3, 2]",22.658093772581065*(x[1]**-0.2408225661867915)*(x[0]**-1.1491987935379886),[22.65809377 -0.24082257 -1.14919879],0.8044462152273008,"{'fitness 25': 0.7369400846179347, 'fitness 53': 0.9178058477431319, 'fitness 74': 0.7276173870432251, 'fitness 102': 0.8044462152273008}",True
1,"[[0], [0], [0, 1], [1, 1, 1, 3], [2, 0, 0, 1, 1, 2], [2, 3, 0, 2, 0, 1, 3, 0, 0, 2], [1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1], [0, 0, 0, 0, 1]]",0.9734642609948388,7,(Constant*Constant/x[0])+(Constant*x[0]+(Constant-Constant))/(((Constant+x[0])+x[0])*Constant),"[1, 1, 2, 4, 6, 10, 11, 4]",(1.4408001046652026*1.6085781527122025/x[0])+(-1.7030744439004548*x[0]+(2.8351052448026928--1.1047032555290601))/(((-0.056577553387513066+x[0])+x[0])*1.093074282113305),"[ 1.4408001   1.60857815 -1.70307444  2.83510524 -1.10470326 -0.05657755
  1.09307428]",1.1124290113907949,"{'fitness 25': 0.8990014238837816, 'fitness 53': 1.0832798202202591, 'fitness 74': 0.9381115388804758, 'fitness 102': 1.1124290113907949}",True
2,"[[0], [1], [1, 2], [1, 0, 3], [2, 1, 2, 2], [0, 0, 2, 3, 0], [1, 0, 0, 1, 0, 1], [0, 0, 0]]",0.9737115909123008,7,(((Constant+(x[0]+x[0]))*Constant/x[0])+(Constant**Constant)),"[1, 1, 2, 3, 4, 5, 6, 3]",(((6.258957290156632+(x[0]+x[0]))*0.6805617225284433/x[0])+(-2.6657195123941606**0.8251846517495224)),[ 6.25895729  0.68056172 -2.66571951  0.82518465],1.114134517718056,"{'fitness 25': 0.8962446030257353, 'fitness 53': 1.084504630568445, 'fitness 74': 0.9403855391427218, 'fitness 102': 1.114134517718056}",True
3,"[[0], [1], [1, 3], [2, 2], [2, 0], [1, 1, 3], [1, 0, 1, 0], [0, 0]]",0.9746713489541312,7,(((Constant**Constant)-(x[0]-Constant**Constant))/x[0]),"[1, 1, 2, 2, 2, 3, 4, 2]",(((1.253382765815242**-0.01702520634668284)-(x[0]-3.0617669128946927**1.0806268674724684))/x[0]),[ 1.25338277 -0.01702521  3.06176691  1.08062687],1.1057367911560354,"{'fitness 25': 0.910680821261771, 'fitness 53': 1.0811433760644664, 'fitness 74': 0.932189849536156, 'fitness 102': 1.1057367911560354}",True
4,"[[0], [2], [0], [2, 3], [2], [3], [1, 0], [0]]",0.9748784872074374,6,((Constant**Constant)/x[0]**Constant),"[1, 1, 1, 2, 1, 1, 2, 1]",((1.694941215092082**2.295216397362669)/x[0]**1.1814021870718316),[1.69494122 2.2952164  1.18140219],1.1124463114263183,"{'fitness 25': 0.9050092315888482, 'fitness 53': 1.0837849951123206, 'fitness 74': 0.9358412349211431, 'fitness 102': 1.1124463114263183}",True
5,"[[0], [0], [3, 1], [3, 1], [1, 0], [3, 2, 3, 2, 3], [1, 1, 0, 0, 0, 1], [0, 1, 1]]",1.0282346710720989,7,Constant/(Constant*((x[0]/x[1])*x[1]/Constant)),"[1, 1, 2, 2, 2, 5, 6, 3]",0.8720148394974438/(0.1616015382915563*((x[0]/x[1])*x[1]/0.6664915686430517)),[0.87201484 0.16160154 0.66649157],1.2278761133333949,"{'fitness 25': 0.859566684733112, 'fitness 53': 1.1682502801692265, 'fitness 74': 1.0568870483139583, 'fitness 102': 1.2278761133333949}",True
6,"[[0], [0], [1, 0], [2, 3, 2, 2], [1, 2, 1], [3, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1], [0, 0, 1, 1]]",1.0458684311778188,7,(((Constant/x[0])**Constant)+x[0])+(x[1]**Constant)-((x[1]-Constant)**Constant),"[1, 1, 2, 4, 3, 5, 6, 4]",(((1.752182514270691/x[0])**1.5500880267360462)+x[0])+(x[1]**-1.8624465596372068)-((x[1]-0.8459270623183119)**-0.40252730200083536),[ 1.75218251  1.55008803 -1.86244656  0.84592706 -0.4025273 ],1.1871927769925084,"{'fitness 25': 0.9822427090273697, 'fitness 53': 1.1560952605098178, 'fitness 74': 0.9992673239962692, 'fitness 102': 1.1871927769925084}",True
7,"[[0], [0], [3, 0], [1, 1, 1, 3], [0, 0, 0, 2], [2, 3, 2, 2, 1, 1, 3, 0, 0, 2], [0, 1, 1, 1, 0, 1, 0, 0], [0, 0, 0, 0, 1]]",1.2641847381250233,7,x[0]*(Constant/Constant*Constant*x[0])-(Constant-x[0]/x[0]),"[1, 1, 2, 2, 4, 7, 8, 4]",x[0]*(-6.148270743092936/-1.0648871441282113*-0.59088160644853*x[0])-(-6.618074017952847-x[0]/x[0]),[-6.14827074 -1.06488714 -0.59088161 -6.61807402],1.5193369752641508,"{'fitness 25': 1.0193340647236073, 'fitness 53': 1.462233222247211, 'fitness 74': 1.3109869274042514, 'fitness 102': 1.5193369752641508}",True
8,"[[0], [0], [3, 0], [1, 1, 1, 3], [1, 2, 1, 1], [2, 0, 2, 2, 1, 1, 3, 0, 0, 2], [0, 1, 1, 1, 0, 1, 0, 0], [0, 0, 0, 0, 1]]",1.649554173713686,7,x[0]*((Constant+Constant)*Constant)*((x[0]-Constant)-(x[0]/x[0])),"[1, 1, 2, 2, 4, 7, 8, 4]",x[0]*((1.3670036026835384+0.9654007678144716)*-5.602473241507586)*((x[0]-0.3804573810658273)-(x[0]/x[0])),[ 1.3670036   0.96540077 -5.60247324  0.38045738],1.9652777392603538,"{'fitness 25': 1.328558141415781, 'fitness 53': 1.9016650349229436, 'fitness 74': 1.718439344802333, 'fitness 102': 1.9652777392603538}",True
9,"[[0], [0], [1, 0], [1, 1, 3, 2], [1, 1, 1, 2, 2], [3, 2, 1, 3, 3, 3, 2, 0], [1, 0, 0, 1, 1, 1, 1, 0, 0], [1, 1, 1, 0]]",1.865720564731741,7,(((Constant/x[1])*(x[1]-Constant))/((Constant/Constant)/Constant))*x[1]+(x[0]**Constant),"[1, 1, 2, 4, 5, 8, 9, 4]",(((-0.03106349812992994/x[1])*(x[1]-0.08708425129385335))/((2.1059410226889286/0.045890718856498036)/-0.6207844078290392))*x[1]+(x[0]**-2.3682681881159113),[-0.0310635   0.08708425  2.10594102  0.04589072 -0.62078441 -2.36826819],2.146205123259561,"{'fitness 25': 1.6775661874551193, 'fitness 53': 1.9643411315549626, 'fitness 74': 1.9552543751851408, 'fitness 102': 2.146205123259561}",True
