,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
38,"[[0], [0], [3, 2], [1], [0, 2], [2, 0, 2], [1, 0, 0, 0], [0, 0, 0]]",3.9292730267317757,7,Constant*((x[0]+x[0]*x[0])**Constant),"[1, 1, 2, 1, 2, 3, 4, 3]",0.8190505163978475*((x[0]+x[0]*x[0])**0.3972304629734721),[0.81905052 0.39723046],4.4552626884959805,"{'fitness 25': 3.4286011067212163, 'fitness 53': 4.176265068726216, 'fitness 74': 4.182952904747895, 'fitness 102': 4.4552626884959805}",False
39,"[[0], [2], [1, 1], [1, 1, 2, 2], [2, 1, 2, 0], [3, 2, 3, 0, 3], [1, 0, 0, 1, 1, 0], [0, 1, 0]]",4.05054466711321,7,(((Constant/(x[0]*x[1]))/(Constant+Constant/x[0]))**Constant),"[1, 1, 1, 2, 4, 5, 6, 3]",(((0.21088719010232582/(x[0]*x[1]))/(0.6795250290462986+0.1400288327876137/x[0]))**0.02905112465529658),[0.21088719 0.67952503 0.14002883 0.02905112],4.561234939646349,"{'fitness 25': 3.5625174190965962, 'fitness 53': 4.285918142012607, 'fitness 74': 4.303198440230428, 'fitness 102': 4.561234939646349}",True
40,"[[0], [0], [2, 1], [1, 1, 1, 3], [2, 1, 2, 0, 0, 2], [2, 3, 0, 2, 0, 1, 3, 0, 0, 2], [1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1], [0, 0, 0, 0, 1]]",4.296800377345393,7,((Constant*(Constant/x[0]))**Constant)+((Constant*x[0]+Constant)-(Constant/Constant+x[0])),"[1, 1, 2, 3, 6, 8, 9, 3]",((0.8190505163978475*(0.3972304629734721/x[0]))**0.2614376123026346)+((0.5656084611190897*x[0]+0.6623078652510458)-(0.3513776765431528/0.552899312488697+x[0])),"[0.81905052 0.39723046 0.26143761 0.56560846 0.66230787 0.35137768
 0.55289931]",4.79438191509716,"{'fitness 25': 3.8208585049712744, 'fitness 53': 4.518509492118481, 'fitness 74': 4.551033134946424, 'fitness 102': 4.79438191509716}",True
41,"[[0], [0], [2, 1], [3, 2, 3], [0, 2], [3, 3, 0, 2, 1, 1, 3, 0, 3, 2], [1, 0, 0, 1, 0, 0, 1, 1, 1, 0], [1, 0, 0]]",4.710081088796339,7,(Constant**Constant)/((x[1]/x[0]**Constant)+Constant),"[1, 1, 2, 3, 1, 3, 4, 2]",(0.8190505163978475**0.3972304629734721)/((x[1]/x[0]**0.2614376123026346)+0.5656084611190897),[0.81905052 0.39723046 0.26143761 0.56560846],5.21296788640394,"{'fitness 25': 4.2379020978628255, 'fitness 53': 4.932443678728222, 'fitness 74': 4.959897489797967, 'fitness 102': 5.21296788640394}",True
42,"[[0], [1], [0, 1], [2, 3, 0, 2], [2, 1, 2, 0], [2, 3, 0, 2, 0, 1, 3, 0, 0, 2], [1, 0, 0, 1, 0, 0, 1, 1], [0, 0, 1, 0]]",4.710286056341215,7,((Constant**Constant)*x[0]/((x[0]+Constant)*x[1]+(x[0]-Constant**Constant))),"[1, 1, 2, 4, 4, 6, 7, 4]",((0.20235463094842487**0.3390958568488811)*x[0]/((x[0]+0.6572255140833927)*x[1]+(x[0]-0.9405934119952792**0.925886277646184))),[0.20235463 0.33909586 0.65722551 0.94059341 0.92588628],5.213207154686291,"{'fitness 25': 4.238080498600259, 'fitness 53': 4.9326496319864015, 'fitness 74': 4.960128038436987, 'fitness 102': 5.213207154686291}",True
43,"[[0], [0], [0, 1], [1, 1, 0, 3], [1, 1, 1, 2, 2, 0], [2, 3, 0, 2, 0, 1, 3, 0, 0, 2], [1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1], [1, 0, 1, 1]]",4.710399847445278,7,((Constant*Constant)/(x[1]+Constant))*((x[0]+Constant)-Constant)/(Constant+Constant+x[1]*Constant),"[1, 1, 2, 4, 6, 10, 11, 3]",((0.8190505163978475*0.3972304629734721)/(x[1]+0.2614376123026346))*((x[0]+0.5656084611190897)-0.6623078652510458)/(0.3513776765431528+0.552899312488697+x[1]*0.20235463094842487),"[0.81905052 0.39723046 0.26143761 0.56560846 0.66230787 0.35137768
 0.55289931 0.20235463]",5.213337290559821,"{'fitness 25': 4.238181344331138, 'fitness 53': 4.93276297369094, 'fitness 74': 4.960255224313756, 'fitness 102': 5.213337290559821}",True
44,"[[0], [1], [3, 2], [3], [], [1], [1, 0], [1]]",19.451725543114218,6,(Constant-(x[1]**Constant)),"[1, 1, 2, 1, 0, 1, 2, 1]",(0.20235463094842487-(x[1]**0.3390958568488811)),[0.20235463 0.33909586],19.267312059901446,"{'fitness 25': 19.5444622524576, 'fitness 53': 19.50609403057723, 'fitness 74': 19.30462034630783, 'fitness 102': 19.267312059901446}",False
45,"[[0], [0], [1, 3], [3, 2], [0], [2, 0, 2], [1, 0, 0, 1], [1, 1]]",866.1340584321141,7,(Constant*(x[1]+x[1]**Constant))*Constant,"[1, 1, 2, 2, 1, 3, 4, 2]",(0.8190505163978475*(x[1]+x[1]**0.3972304629734721))*0.2614376123026346,[0.81905052 0.39723046 0.26143761],792.1671136313653,"{'fitness 25': 916.2602649312189, 'fitness 53': 855.5095156145188, 'fitness 74': 826.6323947506044, 'fitness 102': 792.1671136313653}",False
46,"[[0], [0], [1, 0], [0, 1, 2, 3], [2, 2, 1, 2, 0], [2, 0, 3, 2, 2, 0, 2], [0, 1, 1, 1, 0, 0, 1, 1], [1, 0, 0]]",2007.9680278615033,7,(x[1]*Constant+((Constant/Constant)*x[0]))*(x[0]+Constant**Constant)*Constant,"[1, 1, 2, 4, 5, 7, 8, 3]",(x[1]*0.8190505163978475+((0.3972304629734721/0.2614376123026346)*x[0]))*(x[0]+0.5656084611190897**0.6623078652510458)*0.3513776765431528,[0.81905052 0.39723046 0.26143761 0.56560846 0.66230787 0.35137768],1867.2900878018668,"{'fitness 25': 2081.04172851315, 'fitness 53': 1987.0744666254438, 'fitness 74': 1955.7878884459165, 'fitness 102': 1867.2900878018668}",False
47,"[[0], [0], [0, 1], [3, 2, 3, 3], [2, 1, 2, 0], [0, 2, 3, 1, 3, 3, 1], [0, 0, 0, 1], [1, 0, 1]]",4033.184333796591,7,x[1]+(x[0]**Constant)*(x[1]/Constant),"[1, 1, 2, 4, 1, 3, 4, 3]",x[1]+(x[0]**0.5494048908104886)*(x[1]/11355.180229068363),[5.49404891e-01 1.13551802e+04],3689.0455260199897,"{'fitness 25': 4266.365721691495, 'fitness 53': 3983.8963984153975, 'fitness 74': 3849.2908812828814, 'fitness 102': 3689.0455260199897}",True
48,"[[0], [1], [1, 3], [1, 1, 1, 3], [2, 0, 1, 1], [0, 1, 3, 1, 0, 2, 1], [1, 0, 0, 1, 0, 1, 0, 0, 1, 1], [0, 0, 0, 1, 1]]",4039.203031940848,7,(((Constant+x[0]-x[0])/((Constant-x[0])+(Constant*x[1])))-x[1]),"[1, 1, 2, 2, 4, 7, 8, 5]",(((1.590642026587979+x[0]-x[0])/((0.6793848157897703-x[0])+(-2.148481613247455*x[1])))-x[1]),[ 1.59064203  0.67938482 -2.14848161],3695.28366815582,"{'fitness 25': 4272.249460893525, 'fitness 53': 3990.0251436975273, 'fitness 74': 3855.3344912314924, 'fitness 102': 3695.28366815582}",True
49,"[[0], [0], [1, 3], [0, 0], [1, 0, 0, 2], [3, 0, 1, 3, 3, 2, 3], [1, 0, 0, 0, 0, 0, 1, 1], [0, 1, 1, 0, 1]]",15436.138560158355,7,((Constant/x[0])+x[1]-x[1]/x[0]/x[1]*Constant)/Constant,"[1, 1, 2, 2, 4, 7, 8, 5]",((0.8190505163978475/x[0])+x[1]-x[1]/x[0]/x[1]*0.3972304629734721)/0.2614376123026346,[0.81905052 0.39723046 0.26143761],14120.129724248403,"{'fitness 25': 16327.913109966561, 'fitness 53': 15247.774435117404, 'fitness 74': 14732.728135391104, 'fitness 102': 14120.129724248403}",False
